anio,source_file,entity_name,entity_normalized_name
2023,seguros-en-cifra-2023.xlsx,EMPRESAS DE REASEGUROS,empresas de reaseguros
2023,seguros-en-cifra-2023.xlsx,FINANCIADORA DE PRIMAS,financiadora de primas
2023,seguros-en-cifra-2023.xlsx,MEDICINA PREPAGADA,medicina prepagada
2023,seguros-en-cifra-2023.xlsx,BALANCE CONDENSADO AL 30/06/2023,balance condensado al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS AL 30/06/2023,estado de ganancias y perdidas ingresos al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS AL 30/06/2023,estado de ganancias y perdidas egresos al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,BALANCE CONDENSADO POR EMPRESA AL 30/06/2023,balance condensado por empresa al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS POR EMPRESA AL 30/06/2023,estado de ganancias y perdidas ingresos por empresa al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS POR EMPRESA AL 30/06/2023,estado de ganancias y perdidas egresos por empresa al 30 06 2023
2023,seguros-en-cifra-2023.xlsx,INDICADORES FINANCIEROS. AÑO 2023,indicadores financieros ano 2023
2023,seguros-en-cifra-2023.xlsx,"CÁLCULO DE SUFICIENCIA O INSUFICIENCIA DEL PATRIMONIO PROPIO NO COMPROMETIDO RESPECTO
AL MARGEN DE SOLVENCIA AL 30/06/2022 Y 30/06/2023",calculo de suficiencia o insuficiencia del patrimonio propio no comprometido respecto al margen de solvencia al 30 06 2022 y 30 06 2023
2023,seguros-en-cifra-2023.xlsx,EMPRESAS AUTORIZADAS,empresas autorizadas
2023,seguros-en-cifra-2023.xlsx,BALANCE CONDENSADO,balance condensado
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS Y EGRESOS,estado de ganancias y perdidas ingresos y egresos
2023,seguros-en-cifra-2023.xlsx,INGRESOS POR EMPRESA,ingresos por empresa
2023,seguros-en-cifra-2023.xlsx,CIRCULANTE (ACTIVO) POR EMPRESA,circulante activo por empresa
2023,seguros-en-cifra-2023.xlsx,"GASTOS OPERATIVOS, GASTOS ADMINISTRATIVOS Y GASTOS FINANCIEROS POR EMPRESA",gastos operativos gastos administrativos y gastos financieros por empresa
2023,seguros-en-cifra-2023.xlsx,EMPRESAS DE MEDICINA PREPAGADA AUTORIZADAS,empresas de medicina prepagada autorizadas
2023,seguros-en-cifra-2023.xlsx,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS,estado de ganancias y perdidas ingresos
