anio,source_file,cuadro_or_seccion,entity_name,metric_name,value,unit,ramo_opcional
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO AL 30/06/2023,otro,102.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS AL 30/06/2023,otro,103.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS AL 30/06/2023,otro,104.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO POR EMPRESA AL 30/06/2023,otro,105.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS POR EMPRESA AL 30/06/2023,otro,106.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS POR EMPRESA AL 30/06/2023,otro,107.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INDICADORES FINANCIEROS. AÑO 2023,otro,108.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"CÁLCULO DE SUFICIENCIA O INSUFICIENCIA DEL PATRIMONIO PROPIO NO COMPROMETIDO RESPECTO
AL MARGEN DE SOLVENCIA AL 30/06/2022 Y 30/06/2023",otro,108.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,EMPRESAS AUTORIZADAS,otro,112.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO,otro,113.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS Y EGRESOS,otro,114.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INGRESOS POR EMPRESA,otro,115.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,CIRCULANTE (ACTIVO) POR EMPRESA,otro,116.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"GASTOS OPERATIVOS, GASTOS ADMINISTRATIVOS Y GASTOS FINANCIEROS POR EMPRESA",otro,117.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INDICADORES FINANCIEROS. AÑO 2023,otro,118.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,EMPRESAS DE MEDICINA PREPAGADA AUTORIZADAS,otro,121.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO,otro,122.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS,otro,123.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS,otro,124.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INGRESOS NETOS POR EMPRESA,otro,125.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,RESERVAS TÉCNICAS POR EMPRESA,otro,126.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INDICADORES FINANCIEROS. AÑO 2023,otro,127.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO,otro,113.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS Y EGRESOS,otro,114.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INGRESOS POR EMPRESA,otro,115.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,CIRCULANTE (ACTIVO) POR EMPRESA,otro,116.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"GASTOS OPERATIVOS, GASTOS ADMINISTRATIVOS Y GASTOS FINANCIEROS POR EMPRESA",otro,117.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INDICADORES FINANCIEROS. AÑO 2023,otro,118.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,EMPRESAS DE MEDICINA PREPAGADA AUTORIZADAS,otro,121.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,BALANCE CONDENSADO,otro,122.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. INGRESOS,otro,123.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,ESTADO DE GANANCIAS Y PÉRDIDAS. EGRESOS,otro,124.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INGRESOS NETOS POR EMPRESA,otro,125.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,RESERVAS TÉCNICAS POR EMPRESA,otro,126.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,INDICADORES FINANCIEROS. AÑO 2023,otro,127.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Adriática de Seguros, C.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Adriática de Seguros, C.A.",otro,50.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Adriática de Seguros, C.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Altamira C.A., Seguros",otro,6.9,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Altamira C.A., Seguros",otro,72.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Altamira C.A., Seguros",otro,7.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"American International, C.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"American International, C.A. de Seguros",otro,20.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"American International, C.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Andes C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Andes C.A., Seguros",otro,78.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Andes C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Atrio Seguros C.A.,otro,1.602,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Atrio Seguros C.A.,otro,50.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Atrio Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Ávila C.A., de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Ávila C.A., de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Ávila C.A., de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Banesco Seguros C.A.,otro,7.998,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Banesco Seguros C.A.,otro,1.134,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Banesco Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"BBVA Seguros, C.A.",otro,800.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"BBVA Seguros, C.A.",otro,1.134,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"BBVA Seguros, C.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Bolivariana de Seguros y Reaseguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Bolivariana de Seguros y Reaseguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Bolivariana de Seguros y Reaseguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Capital C.A., Seguros",otro,821.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Capital C.A., Seguros",otro,1.134,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Capital C.A., Seguros",otro,108.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caracas C.A., Seguros",otro,10.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caracas C.A., Seguros",otro,1.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caracas C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caroní, S.A., Seguros",otro,10.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caroní, S.A., Seguros",otro,1.134,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Caroní, S.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Catatumbo C.A., Seguros",otro,1.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Catatumbo C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Catatumbo C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Constitución C.A., Seguros",otro,44.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Constitución C.A., Seguros",otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Constitución C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Corporativos C.A., Seguros",otro,4.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Corporativos C.A., Seguros",otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Corporativos C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Estar Seguros, S.A.",otro,21.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Estar Seguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Estar Seguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Fe C.A., Seguros",otro,200.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Fe C.A., Seguros",otro,22.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Fe C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Hispana de Seguros, C.A.",otro,2.721,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Hispana de Seguros, C.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Hispana de Seguros, C.A.",otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Horizonte, S.A. Seguros",otro,18.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Horizonte, S.A. Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Horizonte, S.A. Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Iberoamericana de Seguros C.A.,otro,2.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Iberoamericana de Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Iberoamericana de Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Internacional, C.A. de Seguros",otro,78.884,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Internacional, C.A. de Seguros",otro,1.134,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Internacional, C.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Latitud Seguros C.A.,otro,120.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Latitud Seguros C.A.,otro,50.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Latitud Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mapfre La Seguridad, C.A. de Seguros",otro,1.5,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mapfre La Seguridad, C.A. de Seguros",otro,150.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mapfre La Seguridad, C.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mercantil C.A., Seguros",otro,41.235,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mercantil C.A., Seguros",otro,1.256,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mercantil C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Miranda C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Miranda C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Miranda C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mundial, C.A. de Seguros",otro,5.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mundial, C.A. de Seguros",otro,35.937,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Mundial, C.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Nuevo Mundo S.A., Seguros",otro,12.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Nuevo Mundo S.A., Seguros",otro,50.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Nuevo Mundo S.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Occidental C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Occidental C.A., Seguros",otro,50.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Occidental C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Oceánica de Seguros, C.A.",otro,77.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Oceánica de Seguros, C.A.",otro,55.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Oceánica de Seguros, C.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Oriental de Seguros C.A.,otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Oriental de Seguros C.A.,otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Oriental de Seguros C.A.,otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Pirámide C.A., Seguros",otro,125.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Pirámide C.A., Seguros",otro,1.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Pirámide C.A., Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Previsora, C.N.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Previsora, C.N.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Previsora, C.N.A. de Seguros",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Primus Seguros C.A.,otro,100.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Primus Seguros C.A.,otro,53.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Primus Seguros C.A.,otro,5.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Proseguros, S.A.",otro,169.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Proseguros, S.A.",otro,51.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Proseguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Qualitas C.A., Seguros",otro,1.448,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Qualitas C.A., Seguros",otro,79.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Qualitas C.A., Seguros",otro,5.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Real Seguros, S.A.",otro,254.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Real Seguros, S.A.",otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Real Seguros, S.A.",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Uniseguros S.A.,  Aseguradora Nacional Unida",otro,3.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Uniseguros S.A.,  Aseguradora Nacional Unida",otro,0.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,"Uniseguros S.A.,  Aseguradora Nacional Unida",otro,60.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Universal de Seguros C.A.,otro,47.0,miles_Bs,
2023,seguros-en-cifra-2023.xlsx,Adobe Table 1,Universal de Seguros C.A.,otro,5.0,miles_Bs,
