"RAMO DE SEGUROS";"SEGURO DIRECTO";"REASEGURO ACEPTADO";"TOTAL";"%"
"SEGURO DE PERSONAS";18371411.0;36242.0;18407653.0;73.59
"Vida Individual";110792.0;0.0;110792.0;0.44
"Vida Desgravamen Hipotecario";0.0;0.0;0.0;0.0
"Rentas Vitalicias";0.0;0.0;0.0;0.0
"Vida Colectivo";66577.0;0.0;66577.0;0.27
"Accidentes Personales Individual";273628.0;0.0;273628.0;1.09
"Accidentes Personales Colectivo";251971.0;0.0;251971.0;1.01
"Hospitalización Individual";9962045.0;0.0;9962045.0;39.83
"Hospitalización Colectivo";7399772.0;36242.0;7436014.0;29.73
"Seguros Funerarios";306627.0;0.0;306627.0;1.23
"SEGUROS PATRIMONIALES";5281233.0;507.0;5281740.0;21.12
"Incendio";404904.0;0.0;404904.0;1.62
"Terremoto";150193.0;0.0;150193.0;0.6
"Robo";21545.0;0.0;21545.0;0.09
"Transporte";286113.0;0.0;286113.0;1.14
"Ramos Técnicos";279700.0;0.0;279700.0;1.12
"Petroleros";0.0;0.0;0.0;0.0
"Combinados";813751.0;0.0;813751.0;3.25
"Lucro cesante";15867.0;0.0;15867.0;0.06
"Automóvil casco";1554873.0;507.0;1555380.0;6.22
"Aeronaves";466307.0;0.0;466307.0;1.86
"Naves";128236.0;0.0;128236.0;0.51
"Agrícola";0.0;0.0;0.0;0.0
"Pecuario";0.0;0.0;0.0;0.0
"Bancarios";150712.0;0.0;150712.0;0.6
"Joyería";0.0;0.0;0.0;0.0
"Diversos";1009032.0;0.0;1009032.0;4.03
"Responsabilidad Civil Automóvil";231740.0;0.0;231740.0;0.93
"Responsabilidad Civil Patronal";127709.0;0.0;127709.0;0.51
"Responsabilidad Civil General";339723.0;0.0;339723.0;1.36
"Responsabilidad Civil Profesional";7137.0;0.0;7137.0;0.03
"Fianzas";549990.0;0.0;549990.0;2.2
"Fidelidad de Empleados";60219.0;0.0;60219.0;0.24
"Responsabilidad Civil de Productos";6948.0;0.0;6948.0;0.03
"Seguros de Crédito";0.0;0.0;0.0;0.0
"SEGUROS SOLIDARIOS";0.0;0.0;0.0;0.0
"TOTAL";24976109.0;36749.0;25012858.0;100.0
