"Nombre Empresa";"Hospitalizacion Individual";"% (Hosp. Ind.)";"Hospitalizacion Colectivo";"% (Hosp. Col.)";"Automovil Casco";"% (Auto)";"Resto de Ramos";"% (Resto)";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;122.0;100.0;122.0
"Altamira C.A., Seguros";14917.0;2.97;304861.0;60.62;12860.0;2.56;170284.0;33.86;502922.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0;22790.0;100.0;22790.0
"Andes C.A., Seguros";17922.0;23.9;27531.0;36.71;1943.0;2.59;27605.0;36.81;75002.0
"Atrio Seguros C.A.";52080.0;29.98;4016.0;2.31;23818.0;13.71;93829.0;54.0;173742.0
"Ávila C.A., de Seguros";124.0;0.26;1808.0;3.85;908.0;1.93;44126.0;93.95;46967.0
"Banesco Seguros C.A.";235.0;0.03;440928.0;62.71;67945.0;9.66;194014.0;27.59;703122.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;47830.0;100.0;47830.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;272.0;100.0;272.0
"Capital C.A., Seguros";4016.0;12.13;1058.0;3.2;10233.0;30.92;17791.0;53.75;33098.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";2853251.0;56.94;1222650.0;24.4;389651.0;7.78;545836.0;10.89;5011389.0
"Caroní, S.A., Seguros";451.0;1.04;4943.0;11.4;0.0;0.0;37971.0;87.56;43364.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;15888.0;25.68;45988.0;74.32;61876.0
"Constitución C.A., Seguros";375240.0;40.93;399800.0;43.61;46422.0;5.06;95252.0;10.39;916713.0
"Corporativos C.A., Seguros";116.0;3.91;0.0;0.0;3.0;0.11;2849.0;95.98;2969.0
"Estar Seguros, S.A.";47956.0;7.97;142016.0;23.6;70457.0;11.71;341379.0;56.73;601809.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;69362.0;100.0;69362.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";415260.0;43.46;229555.0;24.02;41342.0;4.33;269396.0;28.19;955553.0
"Horizonte, S.A. Seguros";7344.0;2.17;107552.0;31.77;5410.0;1.6;218273.0;64.47;338578.0
"Iberoamericana de Seguros C.A.";0.0;0.0;1136.0;93.06;0.0;0.0;85.0;6.94;1221.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";693481.0;44.99;428518.0;27.8;46930.0;3.04;372577.0;24.17;1541506.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;590.0;24.57;1810.0;75.43;2400.0
"Mapfre La Seguridad, C.A. de Seguros";472223.0;40.1;243023.0;20.64;57724.0;4.9;404690.0;34.36;1177660.0
"Mercantil C.A., Seguros";4064436.0;59.5;1568724.0;22.96;337488.0;4.94;860457.0;12.6;6831105.0
"Miranda C.A., Seguros";5495.0;1.58;59754.0;17.2;13309.0;3.83;268780.0;77.38;347337.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";395.0;0.16;1040.0;0.42;914.0;0.37;245989.0;99.05;248338.0
"Nuevo Mundo S.A., Seguros";13222.0;36.71;0.0;0.0;10495.0;29.14;12301.0;34.15;36018.0
"Occidental C.A., Seguros";2437.0;12.52;549.0;2.82;302.0;1.55;16179.0;83.11;19467.0
"Oceánica de Seguros, C.A.";265475.0;22.74;319669.0;27.39;89689.0;7.68;492454.0;42.19;1167287.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;361.0;11.19;2868.0;88.81;3229.0
"Pirámide C.A., Seguros";341656.0;17.65;1084509.0;56.02;160805.0;8.31;348904.0;18.02;1935874.0
"Previsora, C.N.A. de Seguros";589.0;1.01;10773.0;18.54;1905.0;3.28;44845.0;77.17;58112.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0;153.0;100.0;153.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;4726.0;7.62;57316.0;92.38;62042.0
"Qualitas C.A., Seguros";91090.0;30.55;156793.0;52.59;0.0;0.0;50277.0;16.86;298160.0
