"Nombre Empresa";"Vida Individual";"Vida Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo";"Accidentes Personales Individual"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";1.0;0.0;0.0;164.0;1997.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";30.0;0.0;0.0;404.0;287.0
"Atrio Seguros C.A.";338.0;0.0;0.0;285.0;4296.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;3.0;14.0
"Banesco Seguros C.A.";29074.0;0.0;0.0;0.0;7500.0
"BBVA Seguros, C.A.";18028.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";441.0;0.0;0.0;5801.0;126075.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;36.0;56.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;84.0;0.0
"Constitución C.A., Seguros";159.0;0.0;0.0;664.0;6586.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";1529.0;0.0;0.0;650.0;9007.0
"Fe C.A., Seguros";6037.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;233.0
"Horizonte, S.A. Seguros";178.0;0.0;0.0;889.0;5413.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;33.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";690.0;0.0;0.0;258.0;25283.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";1367.0;0.0;0.0;21563.0;9009.0
"Mercantil C.A., Seguros";41407.0;0.0;0.0;7636.0;49849.0
"Miranda C.A., Seguros";0.0;0.0;0.0;528.0;0.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";186.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";126.0;0.0;0.0;0.0;1312.0
"Occidental C.A., Seguros";30.0;0.0;0.0;0.0;32.0
"Oceánica de Seguros, C.A.";1262.0;0.0;0.0;664.0;1556.0
"Oriental de Seguros C.A.";4.0;0.0;0.0;0.0;8.0
"Pirámide C.A., Seguros";1612.0;0.0;0.0;2992.0;2101.0
"Previsora, C.N.A. de Seguros";51.0;0.0;0.0;224.0;6.0
"Primus Seguros C.A.";16.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;4.0;1118.0
"Qualitas C.A., Seguros";40.0;0.0;0.0;466.0;1340.0
"Real Seguros, S.A.";228.0;0.0;0.0;4209.0;0.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;1834.0;185.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";1811.0;0.0;0.0;7651.0;17467.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;34.0
"Venezuela C.A., Seguros";6137.0;0.0;0.0;9424.0;2837.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";11.0;0.0;0.0;44.0;18.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;68.0;7.0
