"Nombre Empresa";"Petroleros";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;4287.0;0.0;12860.0;11088.0;9132.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;7.0;0.0;1943.0;2706.0;35.0
"Atrio Seguros C.A.";0.0;976.0;0.0;23818.0;5013.0;1463.0
"Ávila C.A., de Seguros";0.0;47.0;0.0;908.0;31505.0;45.0
"Banesco Seguros C.A.";0.0;52783.0;0.0;67945.0;0.0;111.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;4835.0;0.0;10233.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;146893.0;0.0;389651.0;1199.0;3665.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;19.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;15888.0;1172.0;749.0
"Constitución C.A., Seguros";0.0;153.0;65.0;46422.0;4707.0;2551.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;3.0;163.0;307.0
"Estar Seguros, S.A.";0.0;3144.0;7652.0;70457.0;9803.0;10746.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;41342.0;8714.0;2629.0
"Horizonte, S.A. Seguros";0.0;85880.0;0.0;5410.0;4741.0;5507.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;46930.0;4610.0;52684.0
"Latitud Seguros C.A.";0.0;0.0;0.0;590.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;27218.0;0.0;57724.0;23883.0;651.0
"Mercantil C.A., Seguros";0.0;423413.0;6047.0;337488.0;4146.0;8029.0
"Miranda C.A., Seguros";0.0;46979.0;0.0;13309.0;109383.0;24.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;1972.0;0.0;914.0;59426.0;36.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;10495.0;0.0;35.0
"Occidental C.A., Seguros";0.0;0.0;0.0;302.0;431.0;119.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;89689.0;66922.0;17319.0
"Oriental de Seguros C.A.";0.0;1254.0;0.0;361.0;0.0;15.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;160805.0;45057.0;3329.0
"Previsora, C.N.A. de Seguros";0.0;6787.0;0.0;1905.0;3489.0;15.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;3403.0;0.0;4726.0;221.0;31.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;2103.0;272.0;0.0;2461.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;2979.0;0.0;2641.0;1057.0;542.0
"Universal de Seguros C.A.";0.0;0.0;0.0;249.0;127.0;0.0
"Universitas, C.A. Seguros";0.0;393.0;0.0;133952.0;25573.0;1904.0
"Venezolana de Seguros y Vida C.A.";0.0;30.0;0.0;3570.0;28195.0;1291.0
"Venezuela C.A., Seguros";0.0;151.0;0.0;1074.0;12724.0;851.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;98.0;0.0;998.0;102.0;1925.0
"Zuma Seguros, C.A.";0.0;68.0;0.0;0.0;149.0;15.0
