"Nombre Empresa";"Agrícola";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;84793.0;125618.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;13825.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;158.0;6255.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;8390.0;75274.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;18.0;33895.0
"Banesco Seguros C.A.";0.0;0.0;0.0;0.0;31864.0;172918.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;137.0;187.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;996.0;18402.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;0.0;1787.0;565857.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;33.0;1382.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;6771.0;39787.0
"Constitución C.A., Seguros";0.0;0.0;0.0;0.0;847.0;76403.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;615.0
"Estar Seguros, S.A.";0.0;0.0;0.0;0.0;6396.0;332557.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;100277.0;245067.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;249.0;165529.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;0.0;174072.0;318271.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;681.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;0.0;184245.0;329415.0
"Mercantil C.A., Seguros";0.0;0.0;81327.0;0.0;52839.0;961518.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;37340.0;251245.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;69381.0;0.0;25039.0;164078.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;102.0;13743.0
"Occidental C.A., Seguros";0.0;0.0;4.0;0.0;634.0;2316.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;0.0;172221.0;482020.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;1665.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;0.0;91393.0;341971.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;21315.0;35297.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;137.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;119.0;10053.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;277.0;858.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;3228.0;231830.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;24.0;7837.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;340.0;1061.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;629.0;194898.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;586.0;36063.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;1146.0;17493.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;127.0;175.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;62.0;3448.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;580.0;1590.0
