"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;122.0
"Altamira C.A., Seguros";0.0;0.0;0.0;48667.0
"American International, C.A. de Seguros";0.0;0.0;0.0;7760.0
"Andes C.A., Seguros";124.0;0.0;0.0;15261.0
"Atrio Seguros C.A.";498.0;0.0;0.0;33419.0
"Ávila C.A., de Seguros";13.0;0.0;0.0;11094.0
"Banesco Seguros C.A.";3.0;0.0;0.0;8614.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";1.0;0.0;0.0;85.0
"Capital C.A., Seguros";0.0;0.0;0.0;198.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";16.0;0.0;0.0;155000.0
"Caroní, S.A., Seguros";8.0;0.0;0.0;36283.0
"Catatumbo C.A., Seguros";840.0;0.0;0.0;21538.0
"Constitución C.A., Seguros";512.0;0.0;0.0;47345.0
"Corporativos C.A., Seguros";12.0;0.0;0.0;2237.0
"Estar Seguros, S.A.";2357.0;0.0;0.0;54809.0
"Fe C.A., Seguros";0.0;0.0;0.0;28.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";1393.0;0.0;0.0;56840.0
"Horizonte, S.A. Seguros";1374.0;0.0;0.0;35398.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";74.0;502.0;0.0;56342.0
"Latitud Seguros C.A.";0.0;0.0;0.0;1719.0
"Mapfre La Seguridad, C.A. de Seguros";2614.0;1175.0;0.0;51282.0
"Mercantil C.A., Seguros";5491.0;0.0;0.0;65322.0
"Miranda C.A., Seguros";492.0;0.0;0.0;27794.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";6.0;0.0;0.0;81290.0
"Nuevo Mundo S.A., Seguros";23.0;0.0;0.0;5440.0
"Occidental C.A., Seguros";29.0;0.0;0.0;13338.0
"Oceánica de Seguros, C.A.";542.0;0.0;0.0;76256.0
"Oriental de Seguros C.A.";3.0;0.0;0.0;1486.0
"Pirámide C.A., Seguros";1806.0;0.0;0.0;128827.0
"Previsora, C.N.A. de Seguros";3228.0;0.0;0.0;8767.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";74.0;0.0;0.0;50278.0
"Qualitas C.A., Seguros";51.0;0.0;0.0;29090.0
"Real Seguros, S.A.";37902.0;5271.0;0.0;60244.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";26.0;0.0;0.0;3170.0
"Universal de Seguros C.A.";68.0;0.0;0.0;4803.0
"Universitas, C.A. Seguros";569.0;0.0;0.0;53753.0
"Venezolana de Seguros y Vida C.A.";58.0;0.0;0.0;12546.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;366.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;17590.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;212.0
"Zuma Seguros, C.A.";13.0;0.0;0.0;38853.0
