"RAMO DE SEGUROS";"SEGURO DIRECTO";"REASEGURO ACEPTADO";"TOTAL";"%"
"SEGURO DE PERSONAS";10383495.0;0.0;10383495.0;88.42
"Vida Individual";10869.0;0.0;10869.0;0.09
"Vida Desgravamen Hipotecario";0.0;0.0;0.0;0.0
"Rentas Vitalicias";5481.0;0.0;5481.0;0.05
"Vida Colectivo";8886.0;0.0;8886.0;0.08
"Accidentes Personales Individual";39224.0;0.0;39224.0;0.33
"Accidentes Personales Colectivo";70823.0;0.0;70823.0;0.6
"Hospitalización Individual";6314858.0;0.0;6314858.0;53.77
"Hospitalización Colectivo";3853724.0;0.0;3853724.0;32.82
"Seguros Funerarios";78156.0;0.0;78156.0;0.67
"Otras Prestaciones";1476.0;0.0;1476.0;0.01
"SEGUROS PATRIMONIALES";1286785.0;0.0;1286785.0;10.96
"Incendio";74654.0;0.0;74654.0;0.64
"Terremoto";0.0;0.0;0.0;0.0
"Robo";2574.0;0.0;2574.0;0.02
"Transporte";13960.0;0.0;13960.0;0.12
"Ramos Tecnicos";21098.0;0.0;21098.0;0.18
"Petroleros";0.0;0.0;0.0;0.0
"Combinados";286069.0;0.0;286069.0;2.44
"Lucro cesante";0.0;0.0;0.0;0.0
"Automóvil casco";598648.0;0.0;598648.0;5.1
"Aeronaves";256854.0;0.0;256854.0;2.19
"Naves";4753.0;0.0;4753.0;0.04
"Agrícola";0.0;0.0;0.0;0.0
"Pecuario";0.0;0.0;0.0;0.0
"Bancarios";0.0;0.0;0.0;0.0
"Joyería";0.0;0.0;0.0;0.0
"Diversos";28175.0;0.0;28175.0;0.24
"SEGUROS OBLIGACIONALES Y/O DE RESPONSABILIDAD";73215.0;0.0;73215.0;0.62
"Responsabilidad Civil Automóvil";15058.0;0.0;15058.0;0.13
"Responsabilidad Civil Patronal";40909.0;0.0;40909.0;0.35
"Responsabilidad Civil General";7347.0;0.0;7347.0;0.06
"Responsabilidad Civil Profesional";0.0;0.0;0.0;0.0
"Fianzas";4684.0;0.0;4684.0;0.04
"Fidelidad de Empleados";5216.0;0.0;5216.0;0.04
"Responsabilidad Civil de Productos";0.0;0.0;0.0;0.0
"Seguros de Crédito";0.0;0.0;0.0;0.0
"TOTAL";11743495.0;0.0;11743495.0;100.0
