"Nombre Empresa";"Vida Individual";"Vida Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo";"Otras Prestaciones"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;24.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;4.0;0.0
"Atrio Seguros C.A.";200.0;0.0;0.0;0.0;0.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;0.0
"Banesco Seguros C.A.";390.0;0.0;0.0;0.0;0.0
"BBVA Seguros, C.A.";727.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;5481.0;700.0;1180.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Constitución C.A., Seguros";0.0;0.0;0.0;85.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";49.0;0.0;0.0;0.0;0.0
"Fe C.A., Seguros";1231.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Horizonte, S.A. Seguros";55.0;0.0;0.0;149.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;135.0;0.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";692.0;0.0;0.0;3648.0;296.0
"Mercantil C.A., Seguros";6302.0;0.0;0.0;546.0;0.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";146.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";32.0;0.0;0.0;0.0;0.0
"Oceánica de Seguros, C.A.";516.0;0.0;0.0;318.0;0.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";323.0;0.0;0.0;2533.0;0.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;97.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;402.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;19.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;19.0;0.0
"Venezuela C.A., Seguros";208.0;0.0;0.0;205.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0
