"Nombre Empresa";"Accidentes Personales Individual";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";9.0;64.0;9686.0;75873.0;1589.0;87244.0
"American International, C.A. de Seguros";0.0;17.0;0.0;0.0;0.0;17.0
"Andes C.A., Seguros";3.0;250.0;8495.0;3619.0;158.0;12529.0
"Atrio Seguros C.A.";11.0;42.0;29719.0;6537.0;748.0;37257.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;757.0;0.0;757.0
"Banesco Seguros C.A.";29.0;414.0;0.0;248282.0;6489.0;255603.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;8469.0;9195.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;226.0;226.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";36124.0;32743.0;1720044.0;637359.0;0.0;2433630.0
"Caroní, S.A., Seguros";0.0;0.0;887.0;1657.0;118.0;2663.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;66.0;66.0
"Constitución C.A., Seguros";6.0;353.0;186606.0;138328.0;213.0;325591.0
"Corporativos C.A., Seguros";0.0;0.0;88.0;0.0;0.0;88.0
"Estar Seguros, S.A.";1226.0;794.0;7512.0;59635.0;0.0;69216.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;15685.0;16916.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";9.0;2107.0;267144.0;128184.0;32.0;397475.0
"Horizonte, S.A. Seguros";21.0;149.0;14845.0;27604.0;731.0;43554.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;1063.0;0.0;1063.0
"Interbank Seguros S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1.0;279.0;332037.0;268820.0;1172.0;602444.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";834.0;10230.0;396559.0;221885.0;9328.0;643473.0
"Mercantil C.A., Seguros";169.0;16031.0;2729828.0;855989.0;1973.0;3610838.0
"Miranda C.A., Seguros";0.0;0.0;1613.0;36966.0;2681.0;41260.0
"Multinacional de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;26.0;0.0;3.0;0.0;29.0
"Nuevo Mundo S.A., Seguros";0.0;61.0;8200.0;0.0;199.0;8606.0
"Occidental C.A., Seguros";0.0;0.0;1019.0;425.0;126.0;1602.0
"Oceánica de Seguros, C.A.";63.0;2646.0;179271.0;176416.0;2245.0;361476.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";406.0;706.0;215235.0;447543.0;18657.0;685404.0
"Previsora, C.N.A. de Seguros";0.0;0.0;259.0;6090.0;61.0;6410.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";2.0;0.0;0.0;0.0;261.0;263.0
"Qualitas C.A., Seguros";24.0;2111.0;48995.0;54849.0;1089.0;107165.0
"Real Seguros, S.A.";0.0;0.0;12827.0;252980.0;250.0;266459.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;3369.0;11162.0;695.0;15226.0
"Universal de Seguros C.A.";0.0;0.0;6.0;348.0;0.0;373.0
"Universitas, C.A. Seguros";57.0;505.0;134850.0;121575.0;1867.0;258855.0
"Venezolana de Seguros y Vida C.A.";0.0;12.0;5659.0;10410.0;9.0;16110.0
"Venezuela C.A., Seguros";230.0;1282.0;0.0;59367.0;1713.0;63006.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;1285.0;1285.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;102.0;0.0;13.0;116.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;7.0;7.0
