"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";2.0;0.0;0.0;0.0;25.0
"American International, C.A. de Seguros";0.0;0.0;0.0;1993.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;33.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;0.0
"Banesco Seguros C.A.";203.0;0.0;0.0;849.0;58.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";1039.0;0.0;0.0;233.0;84.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";110.0;0.0;0.0;0.0;54.0
"Constitución C.A., Seguros";131.0;0.0;3.0;0.0;48.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";52582.0;0.0;64.0;2247.0;10462.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";438.0;0.0;264.0;218.0;121.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";3024.0;0.0;0.0;50.0;3.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";1954.0;0.0;0.0;2727.0;0.0
"Mercantil C.A., Seguros";856.0;0.0;0.0;1215.0;205.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;9.0
"Nuevo Mundo S.A., Seguros";338.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";7.0;0.0;0.0;24.0;0.0
"Oceánica de Seguros, C.A.";3230.0;0.0;109.0;37.0;7789.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";1283.0;0.0;35.0;263.0;888.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";415.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";7538.0;0.0;1913.0;3428.0;1318.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";1459.0;0.0;186.0;676.0;0.0
"Venezolana de Seguros y Vida C.A.";45.0;0.0;0.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
