"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";59.0;5.0;13.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;1040.0;0.0;0.0
"Andes C.A., Seguros";127.0;0.0;0.0;0.0;0.0
"Atrio Seguros C.A.";25.0;0.0;0.0;0.0;0.0
"Ávila C.A., de Seguros";19.0;0.0;16.0;0.0;122.0
"Banesco Seguros C.A.";579.0;65.0;49.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";6550.0;32390.0;610.0;0.0;0.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";400.0;69.0;34.0;0.0;0.0
"Constitución C.A., Seguros";267.0;238.0;27.0;0.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;3866.0
"Estar Seguros, S.A.";420.0;1182.0;677.0;0.0;0.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A,, Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";73.0;0.0;650.0;0.0;0.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";413.0;29.0;198.0;0.0;0.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";792.0;25.0;1471.0;0.0;0.0
"Mercantil C.A., Seguros";17.0;818.0;960.0;0.0;0.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";20.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";75.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;2.0;0.0;0.0
"Oceánica de Seguros, C.A.";1155.0;1748.0;11.0;0.0;0.0
"Oriental de Seguros C.A.";6.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";1406.0;3838.0;496.0;0.0;696.0
"Previsora, C.N.A. de Seguros";23.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";811.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;35.0;939.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";125.0;0.0;33.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";1605.0;466.0;112.0;0.0;0.0
"Venezolana de Seguros y Vida C.A.";18.0;0.0;11.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";64.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";8.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
