"CONCEPTO";"MONTO";"TIPO"
"RESERVAS DE PRIMA SEGUROS DE PERSONAS";1358006.0;"SECCION"
"Reservas Matemáticas Seguros de Vida";13553.0;"SUBDIVISION"
"Reservas de Riesgos en Curso Individual (Accidentes Personales - HCM)";814691.0;"SUBDIVISION"
"Reservas de Riesgos en Curso Colectivo (Vida - Accidentes Personales - HCM)";486737.0;"SUBDIVISION"
"Funerarios";43024.0;"SUBDIVISION"
"RESERVAS DE PRIMAS SEGUROS GENERALES";891136.0;"SECCION"
"Patrimoniales";604119.0;"SUBDIVISION"
"Obligacionales o de responsabilidad";287017.0;"SUBDIVISION"
"RESERVAS PARA RIESGOS CATASTRÓFICOS";44212.0;"SECCION"
"RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS";76725.0;"SECCION"
"RESERVAS DE PRIMAS REASEGURO ACEPTADO";91.0;"SECCION"
"Seguros de Personas";0.0;"SUBDIVISION"
"Seguros Generales";91.0;"SUBDIVISION"
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";1028573.0;"SECCION"
"Vida";1429.0;"SUBDIVISION"
"Individual de Personas (Accidentes Personales - HCM)";412711.0;"SUBDIVISION"
"Colectivos de Personas (Vida - Accidentes Personales - HCM)";457554.0;"SUBDIVISION"
"Funerarios";8881.0;"SUBDIVISION"
"Patrimoniales";128828.0;"SUBDIVISION"
"Obligacionales o de Responsabilidad";19170.0;"SUBDIVISION"
"Seguros Solidarios";0.0;"SUBDIVISION"
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";0.0;"SECCION"
"Personas";0.0;"SUBDIVISION"
"Generales";0.0;"SUBDIVISION"
"PRIMAS COBRADAS POR ANTICIPADO";121523.0;"SECCION"
"DEPÓSITOS PARA SEGUROS EN PROCESO";14728.0;"SECCION"
"REINTEGRO POR EXPERIENCIA FAVORABLE";413.0;"SECCION"
"TOTAL";3535407.0;"SECCION"
