"RAMO_DE_SEGUROS";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"SEGURO DE PERSONAS";1358006.0;1902494.0;3260500.0
"Vida Individual";10620.0;29.0;10649.0
"Desgravamen Hipotecario";19.0;0.0;19.0
"Rentas Vitalicias";2914.0;0.0;2914.0
"Vida Colectivo";22058.0;151.0;22209.0
"Accidentes Personales Individual";69306.0;1922.0;71228.0
"Accidentes Personales Colectivo";101917.0;214.0;102131.0
"Hospitalización Individual";745385.0;1412094.0;2157480.0
"Hospitalización Colectivo";362763.0;488072.0;850835.0
"Funerario";43024.0;12.0;43035.0
"SEGUROS PATRIMONIALES";604119.0;831573.0;1435693.0
"Incendio";57965.0;45031.0;102996.0
"Terremoto";19164.0;9306.0;28470.0
"Robo";4802.0;1734.0;6536.0
"Transporte";13626.0;18556.0;32181.0
"Ramos Técnicos";24514.0;72152.0;96666.0
"Riesgos Petroleros";0.0;0.0;0.0
"Combinados";62309.0;68991.0;131300.0
"Lucro Cesante";535.0;750.0;1285.0
"Automóvil Casco";345696.0;195936.0;541632.0
"Aeronaves";8227.0;87330.0;95558.0
"Naves";6508.0;19949.0;26457.0
"Agrícola";0.0;0.0;0.0
"Pecuario";0.0;0.0;0.0
"Bancario";1.0;35230.0;35231.0
"Joyería";0.0;0.0;0.0
"Riesgos Diversos";60772.0;276609.0;337381.0
"SEGUROS DE RESPONSABILIDAD";287017.0;223719.0;510736.0
"Responsabilidad Civil Automóvil";83857.0;10675.0;94532.0
"Responsabilidad Civil Patronal";36971.0;3142.0;40113.0
"Responsabilidad Civil General";57422.0;65857.0;123279.0
"Responsabilidad Civil Profesional";1519.0;933.0;2452.0
"Fianzas";100844.0;135100.0;235944.0
"Fidelidad de Empleados";5152.0;7075.0;12227.0
"Responsabilidad Civil Productos";1240.0;921.0;2161.0
"Crédito";12.0;15.0;27.0
"TOTAL";2249142.0;2957787.0;5206929.0
