"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";98.0;0.0;98.0
"Altamira C.A., Seguros";43708.0;18084.0;61792.0
"American International, C.A. de Seguros";0.0;2832.0;2832.0
"Andes C.A., Seguros";16171.0;961.0;17132.0
"Ávila C.A. de Seguros";3392.0;12778.0;16170.0
"Atrio Seguros C.A.";19401.0;24679.0;44079.0
"Banesco Seguros C.A.";138182.0;8850.0;147032.0
"BBVA Seguros, C.A.";8615.0;0.0;8615.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";625.0;326.0;950.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";631858.0;500344.0;1132202.0
"Caroní, S.A., Seguros";11516.0;2663.0;14179.0
"Catatumbo C.A., Seguros";15511.0;4719.0;20230.0
"Constitución C.A., Seguros";236694.0;0.0;236694.0
"Corporativos C.A., Seguros";1018.0;0.0;1018.0
"Estar Seguros, S.A.";50871.0;11995.0;62866.0
"Fe C.A., Seguros";779.0;0.0;779.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";41688.0;185125.0;226813.0
"Horizonte, S.A. Seguros";12700.0;5342.0;18042.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";78070.0;367688.0;445759.0
"Latitud Seguros, C.A.";1123.0;455.0;1578.0
"Mapfre La Seguridad, C.A. de Seguros";280255.0;24019.0;304274.0
"Mercantil C.A., Seguros";80566.0;997622.0;1078188.0
"Miranda C.A., Seguros";16776.0;3553.0;20329.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";18060.0;41482.0;59542.0
"Nuevo Mundo S.A., Seguros";16453.0;447.0;16900.0
"Occidental C.A., Seguros";4564.0;2877.0;7441.0
"Oceánica de Seguros, C.A.";67040.0;371759.0;438799.0
"Oriental de Seguros C.A.";670.0;369.0;1039.0
"Pirámide C.A., Seguros";63682.0;279644.0;343326.0
"Previsora, C.N.A. de Seguros";3520.0;5092.0;8612.0
"Primus Seguros C.A.";119.0;0.0;119.0
"Proseguros, S.A.";10619.0;14164.0;24782.0
"Qualitas C.A., Seguros";54754.0;10207.0;64961.0
"Real Seguros, S.A.";60203.0;25329.0;85532.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";12318.0;3352.0;15670.0
"Universal de Seguros C.A.";2864.0;0.0;2864.0
"Universitas, C.A. Seguros";187156.0;6241.0;193398.0
"Venezolana de Seguros y Vida C.A.";9203.0;3476.0;12679.0
"Venezuela C.A., Seguros";28373.0;9141.0;37514.0
"Vértice, C.A. Seguros";122.0;10132.0;10254.0
"Virgen del Valle C.A., Seguros";909.0;0.0;909.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";1249.0;1390.0;2639.0
"Zuma Seguros, C.A.";17648.0;650.0;18298.0
"TOTAL";2249142.0;2957787.0;5206929.0
