"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0
"Altamira C.A., Seguros";18912.0;4187.0;23100.0
"American International, C.A. de Seguros";0.0;0.0;0.0
"Andes C.A., Seguros";6570.0;0.0;6570.0
"Ávila C.A. de Seguros";313.0;0.0;313.0
"Atrio Seguros C.A.";4922.0;15357.0;20279.0
"Banesco Seguros C.A.";88082.0;1.0;88083.0
"BBVA Seguros, C.A.";8615.0;0.0;8615.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";551.0;0.0;551.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";418175.0;495210.0;913385.0
"Caroní, S.A., Seguros";77.0;173.0;249.0
"Catatumbo C.A., Seguros";169.0;0.0;169.0
"Constitución C.A., Seguros";183090.0;0.0;183090.0
"Corporativos C.A., Seguros";16.0;0.0;16.0
"Estar Seguros, S.A.";17147.0;1172.0;18319.0
"Fe C.A., Seguros";764.0;0.0;764.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";10955.0;119334.0;130288.0
"Horizonte, S.A. Seguros";4906.0;0.0;4906.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";61782.0;300038.0;361820.0
"Latitud Seguros, C.A.";0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";193905.0;0.0;193905.0
"Mercantil C.A., Seguros";54245.0;750000.0;804245.0
"Miranda C.A., Seguros";278.0;0.0;278.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";461.0;29.0;490.0
"Nuevo Mundo S.A., Seguros";7771.0;0.0;7771.0
"Occidental C.A., Seguros";923.0;0.0;923.0
"Oceánica de Seguros, C.A.";28501.0;84910.0;113411.0
"Oriental de Seguros C.A.";24.0;12.0;35.0
"Pirámide C.A., Seguros";33501.0;120152.0;153654.0
"Previsora, C.N.A. de Seguros";1.0;0.0;1.0
"Primus Seguros C.A.";4.0;0.0;4.0
"Proseguros, S.A.";851.0;0.0;851.0
"Qualitas C.A., Seguros";47438.0;5442.0;52880.0
"Real Seguros, S.A.";28948.0;0.0;28948.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";8728.0;2212.0;10939.0
"Universal de Seguros C.A.";144.0;0.0;144.0
"Universitas, C.A. Seguros";93440.0;0.0;93440.0
"Venezolana de Seguros y Vida C.A.";5028.0;0.0;5028.0
"Venezuela C.A., Seguros";27121.0;338.0;27459.0
"Vértice, C.A. Seguros";0.0;3715.0;3715.0
"Virgen del Valle C.A., Seguros";909.0;0.0;909.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";630.0;213.0;843.0
"Zuma Seguros, C.A.";112.0;0.0;112.0
"TOTAL";1358006.0;1902494.0;3260500.0
