"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0
"Altamira C.A., Seguros";8808.0;6001.0;14808.0
"American International, C.A. de Seguros";0.0;995.0;995.0
"Andes C.A., Seguros";2221.0;788.0;3009.0
"Ávila C.A. de Seguros";414.0;11340.0;11754.0
"Atrio Seguros C.A.";2393.0;9091.0;11484.0
"Banesco Seguros C.A.";46145.0;8809.0;54954.0
"BBVA Seguros, C.A.";0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";24.0;323.0;347.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";166672.0;5094.0;171767.0
"Caroní, S.A., Seguros";695.0;0.0;695.0
"Catatumbo C.A., Seguros";8745.0;2069.0;10815.0
"Constitución C.A., Seguros";29791.0;0.0;29791.0
"Corporativos C.A., Seguros";545.0;0.0;545.0
"Estar Seguros, S.A.";28646.0;8045.0;36691.0
"Fe C.A., Seguros";0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";21455.0;49483.0;70938.0
"Horizonte, S.A. Seguros";1504.0;1424.0;2927.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";11493.0;64994.0;76487.0
"Latitud Seguros, C.A.";0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";67205.0;23391.0;90596.0
"Mercantil C.A., Seguros";24155.0;215075.0;239230.0
"Miranda C.A., Seguros";12559.0;3096.0;15654.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";9346.0;20557.0;29903.0
"Nuevo Mundo S.A., Seguros";5959.0;396.0;6355.0
"Occidental C.A., Seguros";245.0;261.0;505.0
"Oceánica de Seguros, C.A.";29053.0;259343.0;288396.0
"Oriental de Seguros C.A.";134.0;53.0;188.0
"Pirámide C.A., Seguros";18371.0;103162.0;121534.0
"Previsora, C.N.A. de Seguros";3471.0;3556.0;7026.0
"Primus Seguros C.A.";115.0;0.0;115.0
"Proseguros, S.A.";1050.0;491.0;1541.0
"Qualitas C.A., Seguros";395.0;0.0;395.0
"Real Seguros, S.A.";26525.0;15795.0;42320.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";2187.0;1006.0;3193.0
"Universal de Seguros C.A.";623.0;0.0;623.0
"Universitas, C.A. Seguros";69731.0;5627.0;75357.0
"Venezolana de Seguros y Vida C.A.";1672.0;1332.0;3004.0
"Venezuela C.A., Seguros";1145.0;8747.0;9892.0
"Vértice, C.A. Seguros";6.0;48.0;54.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";505.0;1163.0;1669.0
"Zuma Seguros, C.A.";117.0;17.0;134.0
"TOTAL";604119.0;831573.0;1435693.0
