"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";98.0;0.0;98.0
"Altamira C.A., Seguros";15988.0;7896.0;23884.0
"American International, C.A. de Seguros";0.0;1837.0;1837.0
"Andes C.A., Seguros";7380.0;173.0;7552.0
"Ávila C.A. de Seguros";2665.0;1438.0;4103.0
"Atrio Seguros C.A.";12086.0;231.0;12317.0
"Banesco Seguros C.A.";3955.0;40.0;3995.0
"BBVA Seguros, C.A.";0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";50.0;2.0;52.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";47011.0;39.0;47050.0
"Caroní, S.A., Seguros";10744.0;2491.0;13235.0
"Catatumbo C.A., Seguros";6597.0;2650.0;9247.0
"Constitución C.A., Seguros";23813.0;0.0;23813.0
"Corporativos C.A., Seguros";457.0;0.0;457.0
"Estar Seguros, S.A.";5078.0;2778.0;7856.0
"Fe C.A., Seguros";15.0;0.0;15.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";9278.0;16308.0;25586.0
"Horizonte, S.A. Seguros";6290.0;3918.0;10209.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";4795.0;2657.0;7452.0
"Latitud Seguros, C.A.";1123.0;455.0;1578.0
"Mapfre La Seguridad, C.A. de Seguros";19146.0;628.0;19774.0
"Mercantil C.A., Seguros";2167.0;32546.0;34713.0
"Miranda C.A., Seguros";3939.0;458.0;4397.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";8254.0;20896.0;29149.0
"Nuevo Mundo S.A., Seguros";2724.0;51.0;2774.0
"Occidental C.A., Seguros";3396.0;2616.0;6013.0
"Oceánica de Seguros, C.A.";9485.0;27506.0;36991.0
"Oriental de Seguros C.A.";512.0;304.0;816.0
"Pirámide C.A., Seguros";11809.0;56329.0;68139.0
"Previsora, C.N.A. de Seguros";48.0;1537.0;1584.0
"Primus Seguros C.A.";0.0;0.0;0.0
"Proseguros, S.A.";8718.0;13673.0;22391.0
"Qualitas C.A., Seguros";6921.0;4766.0;11686.0
"Real Seguros, S.A.";4730.0;9534.0;14264.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";1403.0;135.0;1539.0
"Universal de Seguros C.A.";2097.0;0.0;2097.0
"Universitas, C.A. Seguros";23985.0;614.0;24600.0
"Venezolana de Seguros y Vida C.A.";2504.0;2144.0;4647.0
"Venezuela C.A., Seguros";107.0;56.0;163.0
"Vértice, C.A. Seguros";116.0;6370.0;6486.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";114.0;14.0;127.0
"Zuma Seguros, C.A.";17419.0;633.0;18052.0
"TOTAL";287017.0;223719.0;510736.0
