"RAMO_DE_SEGUROS";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"SEGURO DE PERSONAS";880574.0;2552179.0;3432753.0
"Vida Individual";1429.0;0.0;1429.0
"Desgravamen Hipotecario";0.0;0.0;0.0
"Rentas Vitalicias";0.0;0.0;0.0
"Vida Colectivo";4454.0;13.0;4467.0
"Accidentes Personales Individual";4768.0;0.0;4768.0
"Accidentes Personales Colectivo";12086.0;0.0;12086.0
"Hospitalización Individual";407942.0;1636523.0;2044466.0
"Hospitalización Colectivo";441013.0;915643.0;1356657.0
"Funerario";8881.0;0.0;8881.0
"SEGUROS PATRIMONIALES";128828.0;2628742.0;2757571.0
"Incendio";5351.0;8895.0;14246.0
"Terremoto";0.0;0.0;0.0
"Robo";998.0;680.0;1678.0
"Transporte";1594.0;10719.0;12312.0
"Ramos Técnicos";1006.0;2207760.0;2208766.0
"Riesgos Petroleros";0.0;0.0;0.0
"Combinados";10588.0;84658.0;95246.0
"Lucro Cesante";0.0;0.0;0.0
"Automóvil Casco";94567.0;62873.0;157440.0
"Aeronaves";68.0;242350.0;242418.0
"Naves";286.0;838.0;1124.0
"Agrícola";0.0;0.0;0.0
"Pecuario";0.0;0.0;0.0
"Bancario";180.0;8053.0;8233.0
"Joyería";0.0;0.0;0.0
"Riesgos Diversos";14190.0;1916.0;16106.0
"SEGUROS DE RESPONSABILIDAD";19170.0;13603.0;32773.0
"Responsabilidad Civil Automóvil";2315.0;338.0;2653.0
"Responsabilidad Civil Patronal";7386.0;1491.0;8876.0
"Responsabilidad Civil General";4390.0;5764.0;10153.0
"Responsabilidad Civil Profesional";0.0;0.0;0.0
"Fianzas";3560.0;5823.0;9383.0
"Fidelidad de Empleados";1520.0;187.0;1707.0
"Responsabilidad Civil Productos";0.0;0.0;0.0
"Crédito";0.0;0.0;0.0
"TOTAL";1028573.0;5194524.0;6223097.0
