"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0
"Altamira C.A., Seguros";68699.0;62786.0;131485.0
"American International, C.A. de Seguros";55.0;5965.0;6020.0
"Andes C.A., Seguros";15746.0;0.0;15746.0
"Ávila C.A. de Seguros";736.0;48.0;784.0
"Atrio Seguros C.A.";12570.0;31300.0;43870.0
"Banesco Seguros C.A.";66351.0;8060.0;74411.0
"BBVA Seguros, C.A.";512.0;0.0;512.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";39.0;0.0;39.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";246614.0;346860.0;593474.0
"Caroní, S.A., Seguros";4.0;0.0;4.0
"Catatumbo C.A., Seguros";22033.0;33.0;22066.0
"Constitución C.A., Seguros";183239.0;0.0;183239.0
"Corporativos C.A., Seguros";0.0;0.0;0.0
"Estar Seguros, S.A.";23399.0;20155.0;43553.0
"Fe C.A., Seguros";631.0;0.0;631.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";16747.0;54486.0;71233.0
"Horizonte, S.A. Seguros";17170.0;231501.0;248671.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";22116.0;84283.0;106399.0
"Latitud Seguros, C.A.";0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";63733.0;8909.0;72642.0
"Mercantil C.A., Seguros";13795.0;1623147.0;1636942.0
"Miranda C.A., Seguros";14939.0;2566.0;17505.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";354.0;0.0;354.0
"Nuevo Mundo S.A., Seguros";3865.0;0.0;3865.0
"Occidental C.A., Seguros";4491.0;0.0;4491.0
"Oceánica de Seguros, C.A.";27520.0;108043.0;135563.0
"Oriental de Seguros C.A.";0.0;0.0;0.0
"Pirámide C.A., Seguros";77906.0;2590523.0;2668429.0
"Previsora, C.N.A. de Seguros";874.0;0.0;874.0
"Primus Seguros C.A.";0.0;0.0;0.0
"Proseguros, S.A.";1700.0;130.0;1830.0
"Qualitas C.A., Seguros";19255.0;5275.0;24531.0
"Real Seguros, S.A.";15646.0;3265.0;18911.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";3462.0;5961.0;9423.0
"Universal de Seguros C.A.";1017.0;0.0;1017.0
"Universitas, C.A. Seguros";58758.0;1195.0;59953.0
"Venezolana de Seguros y Vida C.A.";19424.0;6.0;19431.0
"Venezuela C.A., Seguros";5066.0;13.0;5079.0
"Vértice, C.A. Seguros";0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";38.0;0.0;38.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";22.0;13.0;35.0
"Zuma Seguros, C.A.";44.0;0.0;44.0
"TOTAL";1028573.0;5194524.0;6223097.0
