"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0
"Altamira C.A., Seguros";66272.0;62786.0;129058.0
"American International, C.A. de Seguros";25.0;0.0;25.0
"Andes C.A., Seguros";15120.0;0.0;15120.0
"Ávila C.A. de Seguros";662.0;0.0;662.0
"Atrio Seguros C.A.";8884.0;27262.0;36146.0
"Banesco Seguros C.A.";62391.0;0.0;62391.0
"BBVA Seguros, C.A.";512.0;0.0;512.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";39.0;0.0;39.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";203216.0;290211.0;493428.0
"Caroní, S.A., Seguros";4.0;0.0;4.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0
"Constitución C.A., Seguros";175053.0;0.0;175053.0
"Corporativos C.A., Seguros";0.0;0.0;0.0
"Estar Seguros, S.A.";20952.0;0.0;20952.0
"Fe C.A., Seguros";631.0;0.0;631.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";13891.0;53702.0;67593.0
"Horizonte, S.A. Seguros";17122.0;0.0;17122.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";20858.0;82517.0;103374.0
"Latitud Seguros, C.A.";0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";44517.0;0.0;44517.0
"Mercantil C.A., Seguros";12756.0;1581193.0;1593949.0
"Miranda C.A., Seguros";14832.0;0.0;14832.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";347.0;0.0;347.0
"Nuevo Mundo S.A., Seguros";3729.0;0.0;3729.0
"Occidental C.A., Seguros";4409.0;0.0;4409.0
"Oceánica de Seguros, C.A.";21539.0;90815.0;112354.0
"Oriental de Seguros C.A.";0.0;0.0;0.0
"Pirámide C.A., Seguros";67985.0;352425.0;420410.0
"Previsora, C.N.A. de Seguros";301.0;0.0;301.0
"Primus Seguros C.A.";0.0;0.0;0.0
"Proseguros, S.A.";2.0;0.0;2.0
"Qualitas C.A., Seguros";19255.0;5275.0;24531.0
"Real Seguros, S.A.";11982.0;0.0;11982.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";3406.0;5961.0;9367.0
"Universal de Seguros C.A.";712.0;0.0;712.0
"Universitas, C.A. Seguros";45287.0;0.0;45287.0
"Venezolana de Seguros y Vida C.A.";18718.0;6.0;18724.0
"Venezuela C.A., Seguros";5066.0;13.0;5079.0
"Vértice, C.A. Seguros";0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";38.0;0.0;38.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";17.0;13.0;30.0
"Zuma Seguros, C.A.";44.0;0.0;44.0
"TOTAL";880574.0;2552179.0;3432753.0
