"NOMBRE_EMPRESA";"RETENCION_PROPIA";"A_CARGO_REASEGURADORES";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0
"Altamira C.A., Seguros";2406.0;0.0;2406.0
"American International, C.A. de Seguros";30.0;118.0;148.0
"Andes C.A., Seguros";148.0;0.0;148.0
"Ávila C.A. de Seguros";53.0;16.0;69.0
"Atrio Seguros C.A.";3533.0;4038.0;7571.0
"Banesco Seguros C.A.";3794.0;8060.0;11854.0
"BBVA Seguros, C.A.";0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0
"Caracas C.A., Seguros";38950.0;56649.0;95599.0
"Caroní, S.A., Seguros";0.0;0.0;0.0
"Catatumbo C.A., Seguros";21878.0;31.0;21908.0
"Constitución C.A., Seguros";7474.0;0.0;7474.0
"Corporativos C.A., Seguros";0.0;0.0;0.0
"Estar Seguros, S.A.";2341.0;20154.0;22495.0
"Fe C.A., Seguros";0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0
"Hispana de Seguros, S.A.";603.0;569.0;1171.0
"Horizonte, S.A. Seguros";48.0;231487.0;231535.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0
"Internacional, S.A. de Seguros";1257.0;1762.0;3019.0
"Latitud Seguros, C.A.";0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";16069.0;8716.0;24784.0
"Mercantil C.A., Seguros";791.0;39865.0;40656.0
"Miranda C.A., Seguros";107.0;1523.0;1629.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0
"Mundial, C.A. de Seguros";8.0;0.0;8.0
"Nuevo Mundo S.A., Seguros";133.0;0.0;133.0
"Occidental C.A., Seguros";82.0;0.0;82.0
"Oceánica de Seguros, C.A.";3962.0;16229.0;20190.0
"Oriental de Seguros C.A.";0.0;0.0;0.0
"Pirámide C.A., Seguros";6180.0;2235700.0;2241880.0
"Previsora, C.N.A. de Seguros";520.0;0.0;520.0
"Primus Seguros C.A.";0.0;0.0;0.0
"Proseguros, S.A.";1556.0;130.0;1686.0
"Qualitas C.A., Seguros";0.0;0.0;0.0
"Real Seguros, S.A.";2902.0;2503.0;5405.0
"Regional C.A. Seguros";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";56.0;0.0;56.0
"Universal de Seguros C.A.";305.0;0.0;305.0
"Universitas, C.A. Seguros";12934.0;1195.0;14130.0
"Venezolana de Seguros y Vida C.A.";705.0;0.0;705.0
"Venezuela C.A., Seguros";0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";5.0;0.0;5.0
"Zuma Seguros, C.A.";0.0;0.0;0.0
"TOTAL";128828.0;2628742.0;2757571.0
