"Nombre Empresa";"Accidentes Personales Individual";"Vida Individual";"Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;77.0;853.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;1.0;0.0;0.0;1460.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;0.0;116.0
"Atrio Seguros C.A.";105.0;0.0;0.0;60.0;1083.0
"Banesco Seguros C.A.";4300.0;0.0;0.0;0.0;2142.0
"BBVA Seguros, C.A.";2922.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";273.0;0.0;0.0;1838.0;42761.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;26.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;20.0;0.0
"Constitución C.A., Seguros";114.0;0.0;0.0;49.0;701.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";5.0;0.0;0.0;74.0;748.0
"Fe C.A., Seguros";37.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;0.0;0.0;94.0
"Horizonte, S.A. Seguros";31.0;0.0;0.0;2.0;377.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";86.0;0.0;0.0;48.0;7505.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";924.0;0.0;0.0;10643.0;924.0
"Mercantil C.A., Seguros";0.0;0.0;2914.0;4980.0;2208.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros -";-29.0;0.0;0.0;55.0;0.0
"Nuevo Mundo S.A., Seguros";52.0;0.0;0.0;0.0;592.0
"Occidental C.A., Seguros";7.0;0.0;0.0;0.0;9.0
"Oceánica de Seguros, C.A.";391.0;0.0;0.0;94.0;539.0
"Oriental de Seguros C.A.";6.0;0.0;0.0;0.0;4.0
"Pirámide C.A., Seguros";490.0;0.0;0.0;611.0;682.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";4.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";2.0;0.0;0.0;0.0;162.0
"Qualitas C.A., Seguros";0.0;18.0;0.0;133.0;570.0
"Real Seguros, S.A.";102.0;0.0;0.0;2456.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;2.0;69.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";103.0;0.0;0.0;65.0;5386.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;6.0
"Venezuela C.A., Seguros";690.0;0.0;0.0;830.0;288.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";3.0;1.0;0.0;8.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;12.0;3.0
