"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos";"Petroleros"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";84.0;63.0;5.0;733.0;321.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";227.0;0.0;107.0;0.0;93.0;0.0
"Ávila C.A. de Seguros";7.0;2.0;0.0;0.0;0.0;0.0
"Atrio Seguros C.A.";82.0;66.0;0.0;10.0;7.0;0.0
"Banesco Seguros C.A.";1819.0;276.0;0.0;1997.0;149.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";3319.0;0.0;32.0;629.0;385.0;0.0
"Caroní, S.A., Seguros";84.0;0.0;0.0;0.0;596.0;0.0
"Catatumbo C.A., Seguros";674.0;12.0;131.0;99.0;84.0;0.0
"Constitución C.A., Seguros";7146.0;965.0;373.0;184.0;215.0;0.0
"Corporativos C.A., Seguros";65.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";10779.0;3650.0;586.0;1213.0;1913.0;0.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";2838.0;1090.0;704.0;1955.0;4703.0;0.0
"Horizonte, S.A. Seguros";3.0;2.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";1534.0;136.0;25.0;111.0;141.0;0.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";2734.0;715.0;281.0;1765.0;1084.0;0.0
"Mercantil C.A., Seguros";375.0;608.0;0.0;271.0;0.0;0.0
"Miranda C.A., Seguros";3.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";14.0;0.0;0.0;0.0;2430.0;0.0
"Nuevo Mundo S.A., Seguros";348.0;145.0;108.0;57.0;78.0;0.0
"Occidental C.A., Seguros";61.0;20.0;11.0;10.0;2.0;0.0
"Oceánica de Seguros, C.A.";5464.0;810.0;639.0;744.0;5453.0;0.0
"Oriental de Seguros C.A.";2.0;2.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";4229.0;1057.0;459.0;1141.0;1211.0;0.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;1822.0;0.0
"Primus Seguros C.A.";115.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";135.0;34.0;14.0;23.0;47.0;0.0
"Qualitas C.A., Seguros";140.0;90.0;0.0;0.0;10.0;0.0
"Real Seguros, S.A.";11181.0;8739.0;812.0;1740.0;3318.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";50.0;15.0;0.0;0.0;3.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";4159.0;575.0;515.0;936.0;248.0;0.0
"Venezolana de Seguros y Vida C.A.";193.0;37.0;0.0;0.0;196.0;0.0
"Venezuela C.A., Seguros";43.0;28.0;0.0;5.0;0.0;0.0
"Vértice, C.A. Seguros";1.0;1.0;0.0;0.0;1.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";23.0;0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";33.0;25.0;0.0;4.0;6.0;0.0
