"Nombre Empresa";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves";"Agrícola"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";1903.0;0.0;5368.0;106.0;98.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";1.0;0.0;680.0;1001.0;20.0;0.0
"Ávila C.A. de Seguros";2.0;0.0;309.0;79.0;11.0;0.0
"Atrio Seguros C.A.";240.0;0.0;1769.0;71.0;73.0;0.0
"Banesco Seguros C.A.";13104.0;0.0;26033.0;0.0;45.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";24.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";31129.0;0.0;129421.0;0.0;1344.0;0.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;10.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;6973.0;0.0;293.0;0.0
"Constitución C.A., Seguros";52.0;14.0;17239.0;2103.0;1284.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;3.0;289.0;187.0;0.0
"Estar Seguros, S.A.";570.0;176.0;9239.0;0.0;372.0;0.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;1574.0;3784.0;410.0;0.0
"Horizonte, S.A. Seguros";174.0;0.0;1286.0;37.0;1.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;9401.0;18.0;49.0;0.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";10661.0;0.0;23272.0;107.0;141.0;0.0
"Mercantil C.A., Seguros";2933.0;0.0;19964.0;0.0;2.0;0.0
"Miranda C.A., Seguros";0.0;0.0;5475.0;455.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";31.0;0.0;525.0;93.0;1.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;5189.0;0.0;8.0;0.0
"Occidental C.A., Seguros";0.0;0.0;85.0;4.0;48.0;0.0
"Oceánica de Seguros, C.A.";0.0;0.0;5589.0;0.0;783.0;0.0
"Oriental de Seguros C.A.";8.0;0.0;112.0;0.0;9.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;8789.0;0.0;502.0;0.0
"Previsora, C.N.A. de Seguros";351.0;0.0;29.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";87.0;0.0;683.0;6.0;17.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;193.0;46.0;0.0;249.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";785.0;0.0;1316.0;0.0;9.0;0.0
"Universal de Seguros C.A.";0.0;152.0;204.0;73.0;0.0;0.0
"Universitas, C.A. Seguros";192.0;0.0;62434.0;0.0;521.0;0.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;1210.0;0.0;0.0;0.0
"Venezuela C.A., Seguros";3.0;0.0;1027.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";15.0;0.0;449.0;0.0;16.0;0.0
"Zuma Seguros, C.A.";44.0;0.0;0.0;0.0;6.0;0.0
