"Nombre Empresa";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;127.0;8808.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;92.0;2221.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;4.0;414.0
"Atrio Seguros C.A.";0.0;0.0;0.0;74.0;2393.0
"Banesco Seguros C.A.";0.0;0.0;0.0;2721.0;46145.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;24.0
"Caracas C.A., Seguros";0.0;0.0;0.0;415.0;166672.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;6.0;695.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;480.0;8745.0
"Constitución C.A., Seguros";0.0;0.0;0.0;215.0;29791.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;545.0
"Estar Seguros, S.A.";0.0;0.0;0.0;147.0;28646.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;0.0;4397.0;21455.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;1504.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;0.0;79.0;11493.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;26444.0;67205.0
"Mercantil C.A., Seguros";0.0;1e-05;0.0;2.0;24155.0
"Miranda C.A., Seguros";0.0;0.0;0.0;6625.0;12559.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;6252.0;9346.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;26.0;5959.0
"Occidental C.A., Seguros";0.0;0.54092;0.0;4.0;245.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;9571.0;29053.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;134.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;982.0;18371.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;1268.0;3471.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;115.0
"Proseguros, S.A.";0.0;0.0;0.0;3.0;1050.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;155.0;395.0
"Real Seguros, S.A.";0.0;0.0;0.0;248.0;26525.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;10.0;2187.0
"Universal de Seguros C.A.";0.0;0.0;0.0;194.0;623.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;150.0;69731.0
"Venezolana de Seguros y Vida C.A.";0.0;0.19256;0.0;36.0;1672.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;39.0;1145.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;3.0;6.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;2.0;505.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;117.0
