"Nombre Empresa";"Accidentes Personales Individual";"Vida Individual";"Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Atrio Seguros C.A.";43.0;0.0;0.0;36.0;1178.0
"Banesco Seguros C.A.";241.0;0.0;0.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;1426.0;2520.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Constitución C.A., Seguros";0.0;0.0;0.0;29.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";0.0;0.0;0.0;12.0;5.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;0.0;0.0;14.0
"Horizonte, S.A. Seguros";10.0;0.0;0.0;108.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;0.0;107.0;151.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;1448.0;197.0
"Mercantil C.A., Seguros";1135.0;0.0;0.0;350.0;144.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;0.0;239.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;810.0;262.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;113.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;14.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;15.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;44.0
