"Nombre Empresa";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";113.0;7573.0;58586.0;0.0;66272.0
"American International, C.A. de Seguros";25.0;0.0;0.0;0.0;25.0
"Andes C.A., Seguros";619.0;12089.0;2212.0;199.0;15120.0
"Ávila C.A. de Seguros";0.0;8.0;654.0;0.0;662.0
"Atrio Seguros C.A.";77.0;5473.0;1342.0;735.0;8884.0
"Banesco Seguros C.A.";502.0;0.0;61039.0;610.0;62391.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;512.0;512.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;39.0;39.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";4079.0;146904.0;48288.0;0.0;203216.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;4.0;4.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Constitución C.A., Seguros";269.0;107626.0;66915.0;214.0;175053.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";293.0;4821.0;15821.0;0.0;20952.0
"Fe C.A., Seguros";0.0;0.0;0.0;631.0;631.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";928.0;1973.0;10865.0;111.0;13891.0
"Horizonte, S.A. Seguros";13.0;6351.0;10348.0;292.0;17122.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;6714.0;13787.0;99.0;20858.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";1477.0;26998.0;14252.0;144.0;44517.0
"Mercantil C.A., Seguros";529.0;5717.0;4406.0;475.0;12756.0
"Miranda C.A., Seguros";0.0;0.0;14832.0;0.0;14832.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;293.0;0.0;54.0;347.0
"Nuevo Mundo S.A., Seguros";55.0;3638.0;0.0;35.0;3729.0
"Occidental C.A., Seguros";44.0;3187.0;1061.0;117.0;4409.0
"Oceánica de Seguros, C.A.";1120.0;8511.0;11669.0;0.0;21539.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";570.0;16628.0;45565.0;4150.0;67985.0
"Previsora, C.N.A. de Seguros";0.0;110.0;128.0;63.0;301.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";2.0;0.0;0.0;0.0;2.0
"Qualitas C.A., Seguros";775.0;12374.0;5904.0;89.0;19255.0
"Real Seguros, S.A.";0.0;3208.0;8774.0;0.0;11982.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;206.0;2956.0;245.0;3406.0
"Universal de Seguros C.A.";0.0;159.0;553.0;0.0;712.0
"Universitas, C.A. Seguros";521.0;19116.0;25616.0;19.0;45287.0
"Venezolana de Seguros y Vida C.A.";47.0;8248.0;10418.0;4.0;18718.0
"Venezuela C.A., Seguros";29.0;0.0;5022.0;0.0;5066.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;38.0;38.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;17.0;0.0;0.0;17.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;44.0
