"Nombre Empresa";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves";"Agrícola"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;2406.0;0.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;30.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;0.0;117.0;0.0;0.0;0.0
"Ávila C.A. de Seguros";1.0;0.0;52.0;0.0;0.0;0.0
"Atrio Seguros C.A.";22.0;0.0;3507.0;0.0;0.0;0.0
"Banesco Seguros C.A.";1617.0;0.0;2050.0;0.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";7916.0;0.0;29973.0;0.0;162.0;0.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;20578.0;0.0;1.0;0.0
"Constitución C.A., Seguros";0.0;0.0;7204.0;68.0;73.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";28.0;0.0;547.0;0.0;1.0;0.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;310.0;0.0;0.0;0.0
"Horizonte, S.A. Seguros";0.0;0.0;48.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;911.0;0.0;0.0;0.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";716.0;0.0;3440.0;0.0;0.0;0.0
"Mercantil C.A., Seguros";254.0;0.0;0.0;0.0;0.0;0.0
"Miranda C.A., Seguros";0.0;0.0;107.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;8.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;133.0;0.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;64.0;0.0;0.0;0.0
"Oceánica de Seguros, C.A.";0.0;0.0;3369.0;0.0;0.0;0.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;5725.0;0.0;50.0;0.0
"Previsora, C.N.A. de Seguros";14.0;0.0;495.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;1686.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";5.0;0.0;51.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;305.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;0.0;10772.0;0.0;0.0;0.0
"Venezolana de Seguros y Vida C.A.";10.0;0.0;676.0;0.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";4.0;0.0;2.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
