"Nombre Empresa";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;2406.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;30.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;148.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;0.0;53.0
"Atrio Seguros C.A.";0.0;0.0;0.0;4.0;3533.0
"Banesco Seguros C.A.";0.0;0.0;0.0;120.0;3794.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;339.0;38950.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;1257.0;21878.0
"Constitución C.A., Seguros";0.0;0.0;0.0;0.0;7474.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";0.0;0.0;0.0;5.0;2341.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";0.0;0.0;0.0;264.0;603.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;48.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;0.0;0.0;0.0;1257.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;11912.0;16069.0
"Mercantil C.A., Seguros";0.0;180.0;0.0;25.0;791.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;107.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;8.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;133.0
"Occidental C.A., Seguros";0.0;0.0;0.0;0.0;82.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;209.0;3962.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;47.0;6180.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;10.0;520.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;1556.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;2902.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;56.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;305.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;12934.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;705.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;5.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
