"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";20.0;0.0;0.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";478.0;0.0;0.0;0.0;0.0
"Ávila C.A. de Seguros";16.0;0.0;0.0;0.0;5.0
"Atrio Seguros C.A.";146.0;7.0;0.0;0.0;0.0
"Banesco Seguros C.A.";157.0;10.0;0.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";89.0;3924.0;434.0;0.0;0.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";145.0;4.0;6.0;0.0;0.0
"Constitución C.A., Seguros";354.0;0.0;358.0;0.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";8.0;51.0;36.0;0.0;10.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";1.0;70.0;7.0;0.0;2003.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";0.0;1.0;0.0;0.0;0.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";192.0;0.0;1870.0;0.0;0.0
"Mercantil C.A., Seguros";0.0;22.0;0.0;0.0;0.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";3.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Oceánica de Seguros, C.A.";45.0;1879.0;96.0;0.0;0.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";36.0;1417.0;713.0;0.0;1542.0
"Previsora, C.N.A. de Seguros";54.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";134.0;0.0;8.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;762.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";437.0;0.0;99.0;0.0;0.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;1.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
