"NOMBRE_EMPRESA";"PRIMAS_NETAS";"GASTOS_ADMINISTRACION";"PORCENTAJE"
"Adriática de Seguros, C.A.";122.0;11680.0;9567.87
"Altamira C.A., Seguros";503291.0;105730.0;21.01
"American International, C.A. de Seguros";22790.0;33076.0;145.14
"Andes C.A., Seguros";75002.0;34245.0;45.66
"Atrio Seguros C.A.";173742.0;63966.0;36.82
"Ávila C.A., de Seguros";46967.0;9024.0;19.21
"Banesco Seguros C.A.";703122.0;169360.0;24.09
"BBVA Seguros, C.A.";47969.0;31981.0;66.67
"Bolivariana de Seguros y Reaseguros, S.A.";272.0;636.0;233.96
"Capital C.A., Seguros";33098.0;35714.0;107.9
"Caracas C.A., Seguros";5011389.0;743631.0;14.84
"Caroní, S.A., Seguros";43364.0;85020.0;196.06
"Catatumbo C.A., Seguros";61876.0;32266.0;52.15
"Constitución C.A., Seguros";916713.0;274166.0;29.91
"Corporativos C.A., Seguros";2969.0;8037.0;270.75
"Estar Seguros, S.A.";601809.0;141380.0;23.49
"Fe C.A., Seguros";69362.0;43666.0;62.95
"Hispana de Seguros, C.A.";955553.0;236152.0;24.71
"Horizonte, S.A. Seguros";338578.0;120739.0;35.66
"Iberoamericana de Seguros C.A.";1221.0;6613.0;541.62
"Internacional, C.A. de Seguros";1541506.0;322095.0;20.89
"Latitud Seguros C.A.";2400.0;22061.0;919.33
"Mapfre La Seguridad, C.A. de Seguros";1177660.0;271103.0;23.02
"Mercantil C.A., Seguros";6831105.0;989249.0;14.48
"Miranda C.A., Seguros";347337.0;146470.0;42.17
"Mundial, C.A. de Seguros";248338.0;164702.0;66.32
"Nuevo Mundo S.A., Seguros";36018.0;18289.0;50.78
"Occidental C.A., Seguros";19467.0;28112.0;144.41
"Oceánica de Seguros, C.A.";1167287.0;164077.0;14.06
"Oriental de Seguros C.A.";3229.0;4758.0;147.36
"Pirámide C.A., Seguros";1935874.0;311218.0;16.08
"Previsora, C.N.A. de Seguros";58112.0;54318.0;93.47
"Primus Seguros C.A.";153.0;1511.0;990.46
"Proseguros, S.A.";62042.0;22761.0;36.69
"Qualitas C.A., Seguros";334402.0;113432.0;33.92
"Real Seguros, S.A.";645345.0;107494.0;16.66
"Uniseguros S.A., Aseguradora Nacional Unida";53450.0;27727.0;51.87
"Universal de Seguros C.A.";6023.0;9310.0;154.58
"Universitas, C.A. Seguros";604471.0;171747.0;28.41
"Venezolana de Seguros y Vida C.A.";84569.0;47043.0;55.63
"Venezuela C.A., Seguros";170118.0;67674.0;39.78
"Vértice, C.A. Seguros";22207.0;9072.0;40.85
"Virgen del Valle C.A., Seguros";6061.0;4287.0;70.73
"Vitalicia, S.A., Seguros";0.0;142.0;54807426.92
"Vivir Seguros C.A.";5648.0;2654.0;46.99
"Zuma Seguros, C.A.";40829.0;28108.0;68.84
"TOTAL";25012858.0;5296501.0;21.18
