"Nombre Empresa";"Accidentes Personales Individual";"Vida Individual";"Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";542.0;1929.0;0.0;60.0;279.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";7.0;0.0;0.0;0.0;57.0
"Atrio Seguros C.A.";65.0;0.0;0.0;23.0;617.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;19.0
"Banesco Seguros C.A.";546.0;0.0;0.0;0.0;1917.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";58.0;0.0;0.0;460.0;23423.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;10.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;4.0;0.0
"Constitución C.A., Seguros";65.0;0.0;0.0;14.0;1134.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";479.0;0.0;0.0;70.0;1369.0
"Fe C.A., Seguros";3.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;58.0
"Horizonte, S.A. Seguros";10.0;0.0;0.0;0.0;2.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";219.0;0.0;0.0;3.0;9376.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";681.0;0.0;0.0;628.0;1730.0
"Mercantil C.A., Seguros";1812.0;0.0;0.0;616.0;4277.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;165.0
"Nuevo Mundo S.A., Seguros";24.0;0.0;0.0;0.0;261.0
"Occidental C.A., Seguros";4.0;0.0;0.0;0.0;6.0
"Oceánica de Seguros, C.A.";221.0;0.0;0.0;33.0;401.0
"Oriental de Seguros C.A.";1.0;0.0;0.0;0.0;2.0
"Pirámide C.A., Seguros";344.0;0.0;0.0;266.0;625.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;1.0;234.0
"Qualitas C.A., Seguros";12.0;0.0;0.0;60.0;336.0
"Real Seguros, S.A.";29.0;0.0;0.0;536.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;37.0;55.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";763.0;0.0;0.0;16.0;5738.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;3.0
"Venezuela C.A., Seguros";13.0;0.0;0.0;458.0;187.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";4.0;0.0;0.0;0.0;12.0
