"Nombre Empresa";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";662.0;1292.0;6720.0;565.0;12049.0
"American International, C.A. de Seguros";237.0;0.0;0.0;0.0;237.0
"Andes C.A., Seguros";1322.0;2843.0;204.0;27.0;4461.0
"Atrio Seguros C.A.";108.0;8539.0;611.0;163.0;10126.0
"Ávila C.A., de Seguros";2.0;0.0;431.0;2.0;453.0
"Banesco Seguros C.A.";1113.0;1.0;47166.0;2484.0;53228.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";17925.0;438884.0;162088.0;0.0;642838.0
"Caroní, S.A., Seguros";3.0;200.0;0.0;4.0;218.0
"Catatumbo C.A., Seguros";75.0;0.0;0.0;0.0;79.0
"Constitución C.A., Seguros";1060.0;66547.0;7191.0;289.0;76300.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";3213.0;9271.0;18350.0;0.0;32752.0
"Fe C.A., Seguros";0.0;0.0;0.0;51.0;54.0
"Hispana de Seguros, C.A.";1712.0;67626.0;15905.0;47.0;85348.0
"Horizonte, S.A. Seguros";157.0;496.0;2290.0;69.0;3023.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1169.0;154690.0;74955.0;1729.0;242141.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";6590.0;69167.0;51310.0;4821.0;134926.0
"Mercantil C.A., Seguros";3922.0;661993.0;91598.0;2251.0;766469.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";35.0;94.0;90.0;1.0;384.0
"Nuevo Mundo S.A., Seguros";326.0;1535.0;0.0;145.0;2291.0
"Occidental C.A., Seguros";131.0;455.0;62.0;32.0;690.0
"Oceánica de Seguros, C.A.";2778.0;33841.0;74254.0;1667.0;113195.0
"Oriental de Seguros C.A.";8.0;0.0;0.0;9.0;20.0
"Pirámide C.A., Seguros";3071.0;60530.0;225304.0;3123.0;293263.0
"Previsora, C.N.A. de Seguros";9.0;43.0;0.0;49.0;102.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;152.0;387.0
"Qualitas C.A., Seguros";4548.0;17827.0;12776.0;604.0;36162.0
"Real Seguros, S.A.";22.0;1625.0;13393.0;268.0;15872.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";57.0;1435.0;2619.0;128.0;4331.0
"Universal de Seguros C.A.";0.0;0.0;0.0;3.0;3.0
"Universitas, C.A. Seguros";980.0;33158.0;14719.0;4620.0;59993.0
"Venezolana de Seguros y Vida C.A.";87.0;2089.0;2992.0;54.0;5225.0
"Venezuela C.A., Seguros";917.0;0.0;15268.0;1230.0;18073.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";94.0;96.0;0.0;25.0;230.0
"Zuma Seguros, C.A.";27.0;0.0;0.0;36.0;106.0
