"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";238.0;117.0;254.0;415.0;1057.0
"American International, C.A. de Seguros";0.0;0.0;0.0;39.0;0.0
"Andes C.A., Seguros";133.0;73.0;95.0;0.0;74.0
"Atrio Seguros C.A.";127.0;16.0;0.0;77.0;9.0
"Ávila C.A., de Seguros";19.0;10.0;0.0;0.0;2.0
"Banesco Seguros C.A.";1808.0;101.0;0.0;1453.0;41.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";4517.0;0.0;21.0;659.0;314.0
"Caroní, S.A., Seguros";52.0;0.0;0.0;12.0;352.0
"Catatumbo C.A., Seguros";304.0;18.0;1.0;1395.0;366.0
"Constitución C.A., Seguros";1935.0;437.0;221.0;588.0;126.0
"Corporativos C.A., Seguros";37.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";28653.0;9620.0;804.0;4407.0;2345.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";3648.0;937.0;568.0;1750.0;546.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1580.0;135.0;77.0;266.0;173.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";2706.0;1768.0;61.0;5171.0;530.0
"Mercantil C.A., Seguros";967.0;526.0;447.0;4346.0;771.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";17.0;0.0;0.0;16.0;3195.0
"Nuevo Mundo S.A., Seguros";317.0;106.0;99.0;11.0;128.0
"Occidental C.A., Seguros";104.0;11.0;5.0;67.0;2.0
"Oceánica de Seguros, C.A.";3556.0;425.0;718.0;603.0;1909.0
"Oriental de Seguros C.A.";7.0;2.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";3965.0;623.0;586.0;1490.0;1573.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";133.0;12.0;6.0;17.0;188.0
"Qualitas C.A., Seguros";125.0;24.0;0.0;0.0;4.0
"Real Seguros, S.A.";16322.0;10485.0;903.0;6751.0;4940.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";89.0;29.0;0.0;34.0;6.0
"Universal de Seguros C.A.";2.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";2979.0;235.0;229.0;281.0;58.0
"Venezolana de Seguros y Vida C.A.";208.0;43.0;2.0;1.0;7.0
"Venezuela C.A., Seguros";112.0;0.0;0.0;20.0;3.0
"Vértice, C.A. Seguros";6.0;3.0;0.0;0.0;1.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";21.0;0.0;0.0;0.0;0.0
