"Nombre Empresa";"Petroleros";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;828.0;0.0;1941.0;852.0;138.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;19.0;0.0;289.0;139.0;1.0
"Atrio Seguros C.A.";0.0;247.0;0.0;1672.0;472.0;111.0
"Ávila C.A., de Seguros";0.0;14.0;0.0;51.0;676.0;9.0
"Banesco Seguros C.A.";0.0;12118.0;0.0;13840.0;0.0;11.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;36977.0;0.0;78609.0;120.0;409.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;5.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;3146.0;47.0;38.0
"Constitución C.A., Seguros";0.0;61.0;13.0;7491.0;180.0;326.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";0.0;1163.0;853.0;18125.0;202.0;1789.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;8884.0;524.0;376.0
"Horizonte, S.A. Seguros";0.0;4.0;0.0;36.0;3.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;467.0;0.0;11928.0;20.0;103.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;9982.0;0.0;12977.0;1609.0;225.0
"Mercantil C.A., Seguros";0.0;84289.0;1346.0;76811.0;292.0;457.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;84.0;0.0;179.0;288.0;17.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;3171.0;0.0;5.0
"Occidental C.A., Seguros";0.0;0.0;0.0;55.0;49.0;18.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;17901.0;3534.0;2579.0
"Oriental de Seguros C.A.";0.0;276.0;0.0;58.0;0.0;1.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;39356.0;1164.0;351.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;18.0;358.0;1.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;36.0;0.0;469.0;30.0;6.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;282.0;44.0;0.0;314.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;959.0;0.0;506.0;34.0;9.0
"Universal de Seguros C.A.";0.0;0.0;0.0;30.0;0.0;0.0
"Universitas, C.A. Seguros";0.0;111.0;0.0;30803.0;2245.0;496.0
"Venezolana de Seguros y Vida C.A.";0.0;7.0;0.0;522.0;9.0;29.0
"Venezuela C.A., Seguros";0.0;13.0;0.0;0.0;1689.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;18.0;0.0;113.0;10.0;209.0
