"Nombre Empresa";"Agrícola";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;37.0;5876.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;39.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;39.0;862.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;670.0;3401.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;6.0;787.0
"Banesco Seguros C.A.";0.0;0.0;0.0;0.0;1159.0;30531.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;249.0;249.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;0.0;227.0;121852.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;10.0;431.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;509.0;5824.0
"Constitución C.A., Seguros";0.0;0.0;0.0;0.0;126.0;11504.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;37.0
"Estar Seguros, S.A.";0.0;0.0;0.0;0.0;538.0;68500.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;18627.0;35860.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0;44.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;0.0;857.0;15606.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;0.0;38634.0;73662.0
"Mercantil C.A., Seguros";0.0;0.0;3842.0;0.0;6123.0;180216.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;132.0;0.0;109.0;4036.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;15.0;3852.0
"Occidental C.A., Seguros";0.0;0.0;1.0;0.0;3.0;315.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;0.0;1216.0;32442.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;345.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;0.0;6898.0;56006.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0;378.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;3.0;898.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;69.0;223.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;2485.0;42525.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;6.0;1672.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;32.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;37.0;37474.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;1.0;827.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;63.0;1902.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;13.0;23.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;10.0;382.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;58.0;201.0
