"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";332.0;249.0;810.0;0.0;3587.0
"American International, C.A. de Seguros";0.0;0.0;222.0;13.0;0.0
"Andes C.A., Seguros";1070.0;240.0;338.0;0.0;770.0
"Atrio Seguros C.A.";481.0;201.0;971.0;0.0;6059.0
"Ávila C.A., de Seguros";66.0;39.0;155.0;0.0;2647.0
"Banesco Seguros C.A.";706.0;233.0;423.0;26.0;5.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";8338.0;19703.0;5431.0;0.0;161.0
"Caroní, S.A., Seguros";24.0;254.0;938.0;399.0;11354.0
"Catatumbo C.A., Seguros";1892.0;218.0;1219.0;7.0;499.0
"Constitución C.A., Seguros";801.0;990.0;2009.0;0.0;6657.0
"Corporativos C.A., Seguros";0.0;1.0;40.0;0.0;151.0
"Estar Seguros, S.A.";1498.0;957.0;4579.0;0.0;3352.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";982.0;589.0;1664.0;0.0;4507.0
"Horizonte, S.A. Seguros";35.0;0.0;16.0;0.0;541.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1325.0;222.0;1550.0;0.0;1196.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;142.0
"Mapfre La Seguridad, C.A. de Seguros";4516.0;503.0;4193.0;274.0;5.0
"Mercantil C.A., Seguros";441.0;595.0;3907.0;364.0;78.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";91.0;0.0;10714.0;25.0;11638.0
"Nuevo Mundo S.A., Seguros";555.0;32.0;203.0;0.0;34.0
"Occidental C.A., Seguros";431.0;55.0;256.0;0.0;3311.0
"Oceánica de Seguros, C.A.";2202.0;1259.0;2969.0;0.0;15456.0
"Oriental de Seguros C.A.";157.0;1.0;10.0;0.0;50.0
"Pirámide C.A., Seguros";2465.0;2604.0;4708.0;0.0;16417.0
"Previsora, C.N.A. de Seguros";51.0;0.0;17.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";2071.0;300.0;572.0;0.0;8835.0
"Qualitas C.A., Seguros";0.0;192.0;818.0;0.0;4353.0
"Real Seguros, S.A.";1.0;159.0;2851.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";233.0;18.0;600.0;0.0;10.0
"Universal de Seguros C.A.";25.0;5.0;52.0;0.0;616.0
"Universitas, C.A. Seguros";3240.0;674.0;2327.0;0.0;3839.0
"Venezolana de Seguros y Vida C.A.";149.0;70.0;247.0;0.0;1554.0
"Venezuela C.A., Seguros";7.0;0.0;15.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;47.0;99.0;0.0;1617.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;2.0;123.0;2.0;13.0
