"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;4978.0
"American International, C.A. de Seguros";0.0;0.0;0.0;235.0
"Andes C.A., Seguros";12.0;0.0;0.0;2430.0
"Atrio Seguros C.A.";17.0;0.0;0.0;7729.0
"Ávila C.A., de Seguros";3.0;0.0;0.0;2910.0
"Banesco Seguros C.A.";0.0;0.0;0.0;1393.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";2.0;0.0;0.0;33635.0
"Caroní, S.A., Seguros";2.0;0.0;0.0;12970.0
"Catatumbo C.A., Seguros";56.0;0.0;0.0;3891.0
"Constitución C.A., Seguros";37.0;0.0;0.0;10493.0
"Corporativos C.A., Seguros";1.0;0.0;0.0;193.0
"Estar Seguros, S.A.";429.0;0.0;0.0;10815.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";324.0;0.0;0.0;8065.0
"Horizonte, S.A. Seguros";8.0;0.0;0.0;601.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";13.0;88.0;0.0;4394.0
"Latitud Seguros C.A.";0.0;0.0;0.0;142.0
"Mapfre La Seguridad, C.A. de Seguros";766.0;158.0;0.0;10414.0
"Mercantil C.A., Seguros";564.0;0.0;0.0;5950.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";1.0;0.0;0.0;22469.0
"Nuevo Mundo S.A., Seguros";3.0;0.0;0.0;828.0
"Occidental C.A., Seguros";5.0;0.0;0.0;4058.0
"Oceánica de Seguros, C.A.";106.0;0.0;0.0;21992.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;218.0
"Pirámide C.A., Seguros";290.0;0.0;0.0;26484.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;69.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";12.0;0.0;0.0;11790.0
"Qualitas C.A., Seguros";2.0;0.0;0.0;5364.0
"Real Seguros, S.A.";1074.0;932.0;0.0;5018.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";2.0;0.0;0.0;863.0
"Universal de Seguros C.A.";1.0;0.0;0.0;698.0
"Universitas, C.A. Seguros";148.0;0.0;0.0;10227.0
"Venezolana de Seguros y Vida C.A.";1.0;0.0;0.0;2021.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;22.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;1763.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;139.0
"Zuma Seguros, C.A.";2.0;0.0;0.0;12676.0
