"Nombre Empresa";"Accidentes Personales Individual";"Vida Individual";"Desgravamen Hipotecario";"Rentas Vitalicias";"Vida Colectivo"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;35.0;420.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";12.0;0.0;0.0;159.0;113.0
"Atrio Seguros C.A.";114.0;0.0;0.0;93.0;1434.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;1.0;3.0
"Banesco Seguros C.A.";18499.0;0.0;0.0;0.0;1651.0
"BBVA Seguros, C.A.";31981.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";68.0;0.0;0.0;864.0;18766.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;64.0;101.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;44.0;0.0
"Constitución C.A., Seguros";34.0;0.0;0.0;143.0;1420.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";334.0;0.0;0.0;133.0;1963.0
"Fe C.A., Seguros";3769.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;46.0
"Horizonte, S.A. Seguros";55.0;0.0;0.0;276.0;1680.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";126.0;0.0;0.0;47.0;4629.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";315.0;0.0;0.0;4964.0;2076.0
"Mercantil C.A., Seguros";9695.0;0.0;0.0;897.0;6177.0
"Miranda C.A., Seguros";0.0;0.0;0.0;223.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";52.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";63.0;0.0;0.0;0.0;1315.0
"Occidental C.A., Seguros";42.0;0.0;0.0;0.0;44.0
"Oceánica de Seguros, C.A.";135.0;0.0;0.0;71.0;181.0
"Oriental de Seguros C.A.";5.0;0.0;0.0;1.0;12.0
"Pirámide C.A., Seguros";210.0;0.0;0.0;389.0;430.0
"Previsora, C.N.A. de Seguros";48.0;0.0;0.0;210.0;6.0
"Primus Seguros C.A.";580.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";1.0;0.0;0.0;0.0;490.0
"Qualitas C.A., Seguros";10.0;0.0;0.0;113.0;337.0
"Real Seguros, S.A.";33.0;0.0;0.0;618.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";12.0;0.0;0.0;701.0;133.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";422.0;0.0;0.0;1751.0;5318.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;16.0
"Venezuela C.A., Seguros";5133.0;0.0;0.0;2595.0;1367.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";4.0;0.0;0.0;18.0;21.0
"Zuma Seguros, C.A.";5.0;0.0;0.0;46.0;5.0
