"Nombre Empresa";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";826.0;3134.0;64044.0;581.0;69039.0
"American International, C.A. de Seguros";2306.0;0.0;0.0;0.0;2306.0
"Andes C.A., Seguros";2312.0;8922.0;13705.0;562.0;25785.0
"Atrio Seguros C.A.";1093.0;18331.0;2552.0;671.0;24289.0
"Ávila C.A., de Seguros";3.0;23.0;341.0;3.0;373.0
"Banesco Seguros C.A.";6.0;49.0;91481.0;17653.0;129339.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;31981.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;8335.0;961.0;21305.0;30601.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";12252.0;11084.0;593298.0;0.0;636332.0
"Caroní, S.A., Seguros";58.0;807.0;14148.0;324.0;15501.0
"Catatumbo C.A., Seguros";159.0;0.0;0.0;85.0;287.0
"Constitución C.A., Seguros";1250.0;80657.0;154710.0;1020.0;239235.0
"Corporativos C.A., Seguros";0.0;314.0;0.0;0.0;314.0
"Estar Seguros, S.A.";3083.0;10990.0;35491.0;0.0;51994.0
"Fe C.A., Seguros";0.0;0.0;0.0;39880.0;43649.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";1666.0;103767.0;45733.0;47.0;151259.0
"Horizonte, S.A. Seguros";945.0;2279.0;48958.0;4105.0;58297.0
"Iberoamericana de Seguros C.A.";0.0;0.0;6613.0;0.0;6613.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1055.0;131805.0;109828.0;3625.0;251115.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";6272.0;108703.0;55943.0;5186.0;183458.0
"Mercantil C.A., Seguros";2221.0;590227.0;218682.0;6808.0;834708.0
"Miranda C.A., Seguros";116.0;2317.0;25198.0;947.0;28801.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";372.0;111.0;94820.0;8.0;95363.0
"Nuevo Mundo S.A., Seguros";55.0;6644.0;0.0;571.0;8648.0
"Occidental C.A., Seguros";892.0;3408.0;1651.0;246.0;6283.0
"Oceánica de Seguros, C.A.";1655.0;28488.0;62772.0;800.0;94101.0
"Oriental de Seguros C.A.";42.0;0.0;0.0;49.0;108.0
"Pirámide C.A., Seguros";2208.0;53639.0;170834.0;2160.0;229870.0
"Previsora, C.N.A. de Seguros";128.0;550.0;10066.0;2118.0;13126.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;580.0
"Proseguros, S.A.";0.0;0.0;0.0;205.0;697.0
"Qualitas C.A., Seguros";3977.0;22445.0;67936.0;528.0;95347.0
"Real Seguros, S.A.";52.0;4334.0;58656.0;120.0;63813.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";116.0;6056.0;15687.0;215.0;22918.0
"Universal de Seguros C.A.";0.0;206.0;10.0;39.0;255.0
"Universitas, C.A. Seguros";1877.0;47377.0;42441.0;3830.0;103016.0
"Venezolana de Seguros y Vida C.A.";211.0;6098.0;15325.0;956.0;22606.0
"Venezuela C.A., Seguros";1441.0;75.0;51253.0;844.0;62707.0
"Vértice, C.A. Seguros";0.0;0.0;1798.0;0.0;1798.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;4287.0;4287.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;28.0;28.0
"Vivir Seguros C.A.";168.0;771.0;4.0;36.0;1021.0
"Zuma Seguros, C.A.";75.0;0.0;0.0;134.0;265.0
