"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";70.0;30.0;3.0;526.0;98.0
"American International, C.A. de Seguros";2375.0;6685.0;0.0;10640.0;0.0
"Andes C.A., Seguros";310.0;0.0;134.0;0.0;108.0
"Atrio Seguros C.A.";69.0;41.0;0.0;11518.0;10.0
"Ávila C.A., de Seguros";260.0;5.0;0.0;0.0;0.0
"Banesco Seguros C.A.";2164.0;413.0;0.0;1735.0;70.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";109.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;586.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";2295.0;0.0;19.0;827.0;232.0
"Caroní, S.A., Seguros";231.0;0.0;0.0;13.0;2135.0
"Catatumbo C.A., Seguros";821.0;34.0;97.0;5767.0;1210.0
"Constitución C.A., Seguros";3037.0;513.0;216.0;819.0;129.0
"Corporativos C.A., Seguros";382.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";35194.0;10797.0;913.0;4405.0;2125.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";2658.0;1052.0;493.0;14392.0;14547.0
"Horizonte, S.A. Seguros";25.0;4.0;0.0;0.0;19748.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";6457.0;102.0;46.0;558.0;157.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";1778.0;406.0;185.0;5362.0;485.0
"Mercantil C.A., Seguros";2327.0;265.0;240.0;4495.0;371.0
"Miranda C.A., Seguros";298.0;0.0;0.0;0.0;18345.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";99.0;0.0;0.0;7.0;1947.0
"Nuevo Mundo S.A., Seguros";714.0;271.0;226.0;36.0;319.0
"Occidental C.A., Seguros";523.0;108.0;38.0;469.0;13.0
"Oceánica de Seguros, C.A.";4588.0;316.0;267.0;411.0;10106.0
"Oriental de Seguros C.A.";29.0;20.0;0.0;0.0;5.0
"Pirámide C.A., Seguros";2342.0;461.0;322.0;1392.0;1300.0
"Previsora, C.N.A. de Seguros";3.0;0.0;0.0;0.0;1665.0
"Primus Seguros C.A.";494.0;437.0;0.0;0.0;0.0
"Proseguros, S.A.";136.0;29.0;13.0;26.0;338.0
"Qualitas C.A., Seguros";93.0;45.0;0.0;0.0;4.0
"Real Seguros, S.A.";11532.0;10768.0;531.0;5989.0;4635.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";110.0;27.0;0.0;102.0;9.0
"Universal de Seguros C.A.";533.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";5057.0;265.0;209.0;1783.0;196.0
"Venezolana de Seguros y Vida C.A.";714.0;179.0;17.0;27.0;429.0
"Venezuela C.A., Seguros";380.0;0.0;0.0;29.0;0.0
"Vértice, C.A. Seguros";11.0;6.0;0.0;0.0;2.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";37.0;0.0;0.0;71.0;0.0
"Zuma Seguros, C.A.";110.0;47.0;0.0;365.0;13.0
