"Nombre Empresa";"Petroleros";"Combinados";"Lucro cesante";"Automóvil casco";"Aeronaves";"Naves"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;901.0;0.0;2701.0;2329.0;1918.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";0.0;3.0;0.0;764.0;1064.0;14.0
"Atrio Seguros C.A.";0.0;452.0;0.0;9170.0;1633.0;479.0
"Ávila C.A., de Seguros";0.0;9.0;0.0;174.0;5942.0;8.0
"Banesco Seguros C.A.";0.0;8469.0;0.0;16578.0;0.0;23.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;46.0;0.0;0.0
"Capital C.A., Seguros";0.0;1212.0;0.0;2564.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;21865.0;0.0;57999.0;178.0;546.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;62.0;0.0;35.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;8285.0;611.0;390.0
"Constitución C.A., Seguros";0.0;715.0;14.0;16346.0;1041.0;620.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;9.0;443.0;832.0
"Estar Seguros, S.A.";0.0;750.0;0.0;17992.0;2010.0;2356.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;15150.0;1944.0;524.0
"Horizonte, S.A. Seguros";0.0;26645.0;0.0;1781.0;1471.0;1709.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;16.0;0.0;10970.0;844.0;9646.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;6265.0;0.0;13299.0;5498.0;150.0
"Mercantil C.A., Seguros";0.0;49767.0;711.0;60879.0;487.0;944.0
"Miranda C.A., Seguros";0.0;19811.0;0.0;5612.0;46126.0;10.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;554.0;0.0;552.0;16695.0;10.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;5273.0;0.0;18.0
"Occidental C.A., Seguros";0.0;0.0;0.0;429.0;601.0;166.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;16230.0;7146.0;1849.0
"Oriental de Seguros C.A.";0.0;1991.0;0.0;506.0;0.0;21.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;36778.0;5866.0;433.0
"Previsora, C.N.A. de Seguros";0.0;6341.0;0.0;1799.0;3263.0;14.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;1183.0;0.0;2635.0;77.0;11.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";0.0;0.0;309.0;41.0;0.0;519.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;1218.0;0.0;1300.0;477.0;207.0
"Universal de Seguros C.A.";0.0;0.0;0.0;385.0;196.0;0.0
"Universitas, C.A. Seguros";0.0;350.0;0.0;39352.0;6780.0;485.0
"Venezolana de Seguros y Vida C.A.";0.0;15.0;0.0;2049.0;13819.0;632.0
"Venezuela C.A., Seguros";0.0;40.0;0.0;372.0;3367.0;225.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;114.0;0.0;0.0
"Vivir Seguros C.A.";0.0;40.0;0.0;427.0;42.0;906.0
"Zuma Seguros, C.A.";0.0;46.0;0.0;2.0;101.0;10.0
