"Nombre Empresa";"Responsabilidad Civil Automóvil";"Responsabilidad Civil Patronal";"Responsabilidad Civil General";"Responsabilidad Civil Profesional";"Fianzas"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;11680.0
"Altamira C.A., Seguros";1885.0;495.0;1189.0;0.0;6654.0
"American International, C.A. de Seguros";0.0;2546.0;5660.0;2852.0;0.0
"Andes C.A., Seguros";2493.0;419.0;701.0;0.0;2339.0
"Atrio Seguros C.A.";5066.0;274.0;1480.0;0.0;6266.0
"Ávila C.A., de Seguros";94.0;41.0;163.0;0.0;1948.0
"Banesco Seguros C.A.";2858.0;236.0;368.0;24.0;8.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";147.0;0.0;35.0;0.0;0.0
"Capital C.A., Seguros";4.0;0.0;30.0;0.0;15.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";8616.0;11044.0;3298.0;0.0;111.0
"Caroní, S.A., Seguros";338.0;1626.0;6255.0;2372.0;56378.0
"Catatumbo C.A., Seguros";4100.0;688.0;4848.0;15.0;1143.0
"Constitución C.A., Seguros";1309.0;901.0;2693.0;0.0;6283.0
"Corporativos C.A., Seguros";5.0;82.0;1507.0;0.0;4430.0
"Estar Seguros, S.A.";1830.0;753.0;5118.0;0.0;3282.0
"Fe C.A., Seguros";17.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";1819.0;609.0;1815.0;0.0;6939.0
"Horizonte, S.A. Seguros";1760.0;39.0;5299.0;0.0;3459.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1135.0;157.0;8079.0;0.0;839.0
"Latitud Seguros C.A.";230.0;0.0;0.0;0.0;21832.0
"Mapfre La Seguridad, C.A. de Seguros";6257.0;400.0;3980.0;294.0;3.0
"Mercantil C.A., Seguros";37.0;351.0;6508.0;129.0;77.0
"Miranda C.A., Seguros";119.0;559.0;2559.0;0.0;8276.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";160.0;0.0;5450.0;368.0;17040.0
"Nuevo Mundo S.A., Seguros";2159.0;66.0;397.0;0.0;100.0
"Occidental C.A., Seguros";2402.0;329.0;1607.0;0.0;14214.0
"Oceánica de Seguros, C.A.";1104.0;627.0;1579.0;0.0;7079.0
"Oriental de Seguros C.A.";1300.0;8.0;81.0;0.0;685.0
"Pirámide C.A., Seguros";2363.0;1464.0;3033.0;0.0;13065.0
"Previsora, C.N.A. de Seguros";3829.0;41.0;214.0;0.0;1090.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";2581.0;442.0;853.0;0.0;13676.0
"Qualitas C.A., Seguros";0.0;189.0;694.0;0.0;8153.0
"Real Seguros, S.A.";5.0;102.0;2365.0;0.0;34.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";739.0;42.0;15.0;478.0;64.0
"Universal de Seguros C.A.";522.0;87.0;761.0;0.0;5942.0
"Universitas, C.A. Seguros";4246.0;747.0;2699.0;0.0;6236.0
"Venezolana de Seguros y Vida C.A.";815.0;149.0;564.0;0.0;4713.0
"Venezuela C.A., Seguros";154.0;0.0;48.0;0.0;0.0
"Vértice, C.A. Seguros";458.0;203.0;324.0;0.0;6218.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;4.0;45.0;0.0;37.0
"Zuma Seguros, C.A.";470.0;1253.0;2378.0;1.0;22649.0
