"RAMO_DE_SEGUROS";"PRIMAS_NETAS";"COMISIONES_GASTOS_ADQUISICION";"PORC_COMISIONES";"GASTOS_ADMINISTRACION";"PORC_GASTOS_ADM"
"SEGURO DE PERSONAS";18371411.0;2615033.0;14.23;3642115.0;19.82
"Vida Individual";110792.0;5929.0;5.35;71760.0;64.77
"Vida Desgravamen Hipotecario";0.0;1929.0;0.0;0.0;0.0
"Rentas Vitalicias";0.0;0.0;0.0;0.0;0.0
"Vida Colectivo";66577.0;3284.0;4.93;14453.0;21.71
"Accidentes Personales Individual";273628.0;52311.0;19.12;50153.0;18.33
"Accidentes Personales Colectivo";251971.0;52362.0;20.78;48890.0;19.4
"Hospitalización Individual";9962045.0;1634278.0;16.41;1261947.0;12.67
"Hospitalización Colectivo";7399772.0;840296.0;11.36;2074939.0;28.04
"Seguros Funerarios";306627.0;24645.0;8.04;119974.0;39.13
"SEGUROS PATRIMONIALES";5281233.0;738814.0;13.99;1187041.0;22.48
"Incendio";404904.0;74720.0;18.45;88364.0;21.82
"Terremoto";150193.0;25766.0;17.15;33328.0;22.19
"Robo";21545.0;5097.0;23.66;3970.0;18.43
"Transporte";286113.0;29912.0;10.45;72351.0;25.29
"Ramos Técnicos";279700.0;18726.0;6.7;80752.0;28.87
"Petroleros";0.0;0.0;0.0;0.0;0.0
"Combinados";813751.0;147695.0;18.15;148657.0;18.27
"Lucro cesante";15867.0;2494.0;15.72;1033.0;6.51
"Automóviles casco";1554873.0;329026.0;21.16;348626.0;22.42
"Aeronaves";466307.0;14571.0;3.12;130049.0;27.89
"Naves";128236.0;8035.0;6.27;25710.0;20.05
"Agrícola";0.0;0.0;0.0;0.0;0.0
"Pecuario";0.0;0.0;0.0;0.0;0.0
"Bancarios";150712.0;3975.0;2.64;28983.0;19.23
"Joyería";0.0;0.0;0.0;0.0;0.0
"Diversos";1009032.0;78798.0;7.81;225217.0;22.32
"SEGUROS OBLIGACIONALES O DE RESPONSABILIDAD";1323465.0;247939.0;18.73;458438.0;34.64
"Responsabilidad Civil Automóvil";231740.0;34312.0;14.81;63424.0;27.37
"Responsabilidad Civil Patronal";127709.0;30869.0;24.17;26972.0;21.12
"Responsabilidad Civil General";339723.0;55787.0;16.42;84691.0;24.93
"Responsabilidad Civil Profesional";7137.0;1111.0;15.56;6532.0;91.53
"Fianzas";549990.0;120803.0;21.96;262957.0;47.81
"Fidelidad de Empleados";60219.0;3880.0;6.44;12726.0;21.13
"Responsabilidad Civil de Productos";6948.0;1178.0;16.95;1136.0;16.36
"Seguros de Crédito";0.0;0.0;0.0;0.0;0.0
"SEGUROS SOLIDARIOS";0.0;0.0;0.0;0.0;0.0
"TOTAL";24976109.0;3601786.0;14.42;5287595.0;21.17
