"CONCEPTO";"MONTO"
"ACTIVO";0.0
"INVERSIONES APTAS PARA LA REPRESENTACIÓN DE LA RESERVAS TÉCNICAS";16895141.0
"GARANTÍA A LA NACIÓN";46419.0
"INVERSIONES NO APTAS PARA LA REPRESENTACIÓN DE LA RESERVAS TÉCNICAS";7232297.0
"CUENTAS DEUDORAS POR REASEGURO";256113.0
"CUENTA DE RESERVAS A CARGO DE REASEGURADORES Y RETROCESIONARIOS";8312005.0
"ACTIVOS DEPRECIABLES Y AMORTIZABLES";203217.0
"CUENTAS DEUDORAS DIVERSAS";6609417.0
"ACTIVOS TRANSITORIOS";702841.0
"OTROS ACTIVOS";1216610.0
"TOTAL ACTIVO";41474060.0
"Más";0.0
"PÉRDIDA DE EJERCICIOS ANTERIORES";43312.0
"PÉRDIDA DEL EJERCICIO";33254.0
"TOTAL GENERAL";41550626.0
"CUENTAS DE ORDEN";3294885.0
"PASIVO";0.0
"RESERVAS TÉCNICAS";11889232.0
"OBLIGACIONES A PAGAR";808245.0
"CUENTAS ACREEDORAS DIVERSAS";1763129.0
"CUENTAS ACREEDORAS POR REASEGURO";1671575.0
"DEPÓSITOS CONSTITUÍDOS POR REASEGURADORES Y RETROCESIONARIOS";21.0
"PASIVOS TRANSITORIOS";1761651.0
"RESERVAS DE PREVISIÓN";9528796.0
"TOTAL PASIVO";27422650.0
"CAPITAL";0.0
"CAPITAL SOCIAL";174814.0
"SUPERAVIT GANADO";411332.0
"TOTAL CAPITAL";586146.0
"SUPERAVIT NO REALIZADO";13136966.0
"TOTAL PASIVO + CAPITAL + SUPERAVIT NO REALIZADO";41145762.0
"Más";0.0
"UTILIDAD DEL EJERCICIO";404864.0
"TOTAL GENERAL";41550626.0
"CUENTAS DE ORDEN";3294885.0
