"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES SEGUROS DE PERSONAS";35056689.0;"SECCION"
"Primas del Ejercicio";18815041.0;"LINEA"
"Prestaciones y Siniestros a cargo de Reaseguradores";6660958.0;"LINEA"
"Gastos Operacionales Reembolsados por Reaseguradores";3176332.0;"LINEA"
"Participación en las utilidades de Reaseguradores";15856.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior";1778726.0;"LINEA"
"Reservas Técnicas del Ejercicio a cargo de Reaseguradores";4534009.0;"LINEA"
"Impuestos a cargo de Reaseguradores";75767.0;"LINEA"
"OPERACIONES DE SEGUROS GENERALES";14605033.0;"SECCION"
"Primas del Ejercicio";6677659.0;"LINEA"
"Siniestros a cargo de Reaseguradores";829740.0;"LINEA"
"Gastos Operacionales Reembolsados por Reaseguradores";976009.0;"LINEA"
"Participación en las utilidades de Reaseguradores";9646.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior";2253804.0;"LINEA"
"Reservas Técnicas del Ejercicio a cargo de Reaseguradores";3777996.0;"LINEA"
"Impuestos a cargo de Reaseguradores";61788.0;"LINEA"
"Salvamento de Siniestros";18390.0;"LINEA"
"OPERACIONES DE SEGUROS SOLIDARIOS";0.0;"SECCION"
"Primas Cobradas";0.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior";0.0;"LINEA"
"OPERACIONES DE REASEGURO ACEPTADO";37696.0;"SECCION"
"Primas Aceptadas Seguros de Personas";36242.0;"LINEA"
"Prestaciones y Siniestros pagados por Retrocesionarios";0.0;"LINEA"
"Primas Aceptadas Seguros Generales";507.0;"LINEA"
"Gastos Operacionales Reembolsados por Retrocesionarios";947.0;"LINEA"
"Participación en Utilidades de Retrocesionarios";0.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior";0.0;"LINEA"
"Reservas Técnicas del Ejercicio a Cargo de Retrocesionarios";0.0;"LINEA"
"Impuestos a cargo de Reaseguradas";0.0;"LINEA"
"Salvamento de Siniestros";0.0;"LINEA"
"GESTIÓN GENERAL DE LA EMPRESA";6259654.0;"SECCION"
"Producto de Inversiones";591745.0;"LINEA"
"Ajuste de Valores";28832.0;"LINEA"
"Ingresos por Fideicomiso";3033.0;"LINEA"
"Ingresos por Servicios";474707.0;"LINEA"
"Beneficios Diversos";5161338.0;"LINEA"
"TOTAL INGRESOS";55959073.0;"TOTAL_GLOBAL"
"RESULTADO DEL EJERCICIO : PÉRDIDA";33254.0;"RESULTADO"
"TOTAL GENERAL";55992327.0;"TOTAL_GLOBAL"
