"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES SEGUROS DE PERSONAS";36272185.0;"SECCION"
"Prestaciones Pagadas";26712.0;"LINEA"
"Siniestros Pagados";10356783.0;"LINEA"
"Devolución de Primas";443630.0;"LINEA"
"Comisiones y Gastos de Adquisición";2615033.0;"LINEA"
"Primas Cedidas en Reaseguro";10966717.0;"LINEA"
"Reservas Técnicas del Ejercicio";6844251.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior a cargo de Reaseguradores";1079030.0;"LINEA"
"Intereses Pagados a Reaseguradores";0.0;"LINEA"
"Gastos de Administración";3642115.0;"LINEA"
"Reintegro por Experiencia Favorable";953.0;"LINEA"
"Primas Pagadas por Concepto de Reaseguro No Proporcional";296961.0;"LINEA"
"OPERACIONES DE SEGUROS GENERALES";15093603.0;"SECCION"
"Siniestros Pagados";1359999.0;"LINEA"
"Devolución de Primas";72961.0;"LINEA"
"Comisiones y Gastos de Adquisición";986753.0;"LINEA"
"Primas Cedidas en Reaseguro";3801883.0;"LINEA"
"Reservas Técnicas del Ejercicio";4866406.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior a cargo de Reaseguradores";1960625.0;"LINEA"
"Intereses Pagados a Reaseguradores";0.0;"LINEA"
"Participación de Reaseguradores en Salvamento de Siniestros";0.0;"LINEA"
"Gastos de Administración";1645479.0;"LINEA"
"Reintegro por Experiencia Favorable";0.0;"LINEA"
"Primas Pagadas por Concepto de Reaseguro No Proporcional";399498.0;"LINEA"
"OPERACIONES DE SEGUROS SOLIDARIOS";0.0;"SECCION"
"Prestaciones y Siniestros Pagados";0.0;"LINEA"
"Devolución de Primas";0.0;"LINEA"
"Comisiones y Gastos de Adquisición";0.0;"LINEA"
"Reservas Técnicas del Ejercicio";0.0;"LINEA"
"Gastos de Administración";0.0;"LINEA"
"OPERACIONES DE REASEGURO ACEPTADO";31432.0;"SECCION"
"Prestaciones y Siniestros Pagados";1586.0;"LINEA"
"Devolución de Primas";0.0;"LINEA"
"Comisiones y Gastos";89.0;"LINEA"
"Primas Retrocedidas";18947.0;"LINEA"
"Reservas Técnicas del Ejercicio";91.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior a cargo de Retrocesionarios";0.0;"LINEA"
"Intereses Pagados a Retrocesionarios";1812.0;"LINEA"
"Participación de Retrocesionarios en Salvamento de Siniestros";0.0;"LINEA"
"Gastos de Administración";8906.0;"LINEA"
"GESTIÓN GENERAL DE LA EMPRESA";4190243.0;"SECCION"
"Gastos de Administración";90585.0;"LINEA"
"Egresos Financieros";361183.0;"LINEA"
"Ajustes de Reservas de Provisión";1319322.0;"LINEA"
"Ajustes de Valores y Otros Activos";32888.0;"LINEA"
"Pérdidas en Activos";15.0;"LINEA"
"Egresos por Fideicomiso";0.0;"LINEA"
"Egresos por Servicios";87664.0;"LINEA"
"Otros Egresos";2298585.0;"LINEA"
"TOTAL EGRESOS";55587463.0;"TOTAL_GLOBAL"
"RESULTADO DEL EJERCICIO : UTILIDAD";404864.0;"RESULTADO"
"TOTAL GENERAL";55992327.0;"TOTAL_GLOBAL"
