"CONCEPTO";"MONTO"
"A.PRODUCTO DE INVERSIONES";591745.0
"INTERESES GANADOS";147661.0
"Depósitos a la Vista";11071.0
"Depósitos a Plazo Fijo";24472.0
"Mesa de Dinero";2463.0
"Valores Públicos";85309.0
"Valores Privados";23376.0
"Préstamos con Garantía Prendaria";0.0
"Préstamos Hipotecarios";1.0
"Préstamos sobre Pólizas";0.0
"Productores de Seguros";517.0
"Participación en Sociedades Financieras";0.0
"Efectos Mercantiles";0.0
"Otros Préstamos";452.0
"DIVIDENDOS GANADOS";5506.0
"Acciones en Empresas de Seguros o de Reaseguros";203.0
"Acciones en Bancos y otros Institutos de Crédito";2.0
"Acciones en Sociedades Anónimas";5301.0
"Participaciones en Sociedades de Responsabilidad Limitada";0.0
"ALQUILERES GANADOS";54537.0
"NEGOCIACIÓN DE VALORES Y OTROS ACTIVOS";384040.0
"Valores Vendidos";28548.0
"Valores Redimidos";7174.0
"Muebles";134109.0
"Inmuebles";214209.0
"B.AJUSTES DE VALORES";28832.0
"BONOS PÚBLICOS";10750.0
"CÉDULAS PÚBLICAS";0.0
"BONOS PRIVADOS";13776.0
"CÉDULAS PRIVADAS";0.0
"ACCIONES PRIVADAS";4306.0
"C.INGRESOS POR FIDEICOMISO";3033.0
"D.INGRESOS POR SERVICIOS";474707.0
"E.BENEFICIOS DIVERSOS";5161338.0
"DIFERENCIAS EN CAMBIO";4585986.0
"DIFERENCIAS EN COBRANZAS";12332.0
"RECUPERACIÓN DE CUENTAS PERDIDAS";301.0
"OTROS BENEFICIOS";562720.0
"PRODUCTO BRUTO TOTAL(A+B+C+D+E)";6259654.0
"TOTAL EGRESOS POR LA GESTIÓN GENERAL DE LA EMPRESA";4190243.0
"PRODUCTO NETO TOTAL";2069411.0
