"NOMBRE_EMPRESA";"AÑO_2019";"AÑO_2020";"AÑO_2021";"AÑO_2022";"AÑO_2023"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;205.0
"Altamira C.A., Seguros";0.0;1.0;14.0;130.0;303.0
"American International, C.A. de Seguros";0.0;2.0;318.0;50.0;10647.0
"Andes C.A., Seguros";0.0;4.0;18.0;139.0;39.0
"Atrio Seguros C.A.";0.0;18.0;62.0;69.0;26.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;20.0
"Banesco Seguros C.A.";0.0;39.0;103.0;7610.0;9022.0
"BBVA Seguros, C.A.";0.0;289.0;27360.0;6593.0;84750.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;49.0;30.0;596.0;192.0
"Capital C.A., Seguros";0.0;3.0;3.0;624.0;703.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;4587.0;50067.0;23173.0;70032.0
"Caroní, S.A., Seguros";0.0;150.0;1934.0;47589.0;10721.0
"Catatumbo C.A., Seguros";0.0;2.0;451.0;660.0;10159.0
"Constitución C.A., Seguros";0.0;62.0;610.0;2505.0;1568.0
"Corporativos C.A., Seguros";0.0;5613.0;20376.0;67717.0;90678.0
"Estar Seguros, S.A.";0.0;21.0;41.0;123.0;148.0
"Fe C.A., Seguros";0.0;6.0;6.0;207.0;372.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;56.0;85.0;540.0;4188.0
"Horizonte, S.A. Seguros";0.0;43.0;104.0;658.0;8020.0
"Iberoamericana de Seguros C.A.";0.0;1.0;10.0;50.0;-6564.0
"Interbank, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;2.0;671.0;2187.0;618.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;4686.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;1543.0;464.0;8241.0;3518.0
"Mercantil C.A., Seguros";0.0;24.0;1274.0;26513.0;54146.0
"Miranda C.A., Seguros";0.0;0.0;-13619.0;4463.0;1776.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;-158.0;-1206.0;341.0;17128.0
"Nuevo Mundo S.A., Seguros";0.0;82.0;125.0;54.0;125.0
"Occidental C.A., Seguros";0.0;112.0;1062.0;10283.0;11223.0
"Oceánica de Seguros, C.A.";0.0;10.0;35.0;331.0;1361.0
"Oriental de Seguros C.A.";0.0;10.0;51.0;14.0;181.0
"Pirámide C.A., Seguros";0.0;12.0;40.0;386.0;3965.0
"Previsora, C.N.A. de Seguros";0.0;-44.0;903.0;11899.0;335.0
"Primus Seguros C.A.";0.0;141.0;147.0;775.0;825.0
"Proseguros, S.A.";0.0;0.0;5.0;47.0;45.0
"Qualitas C.A., Seguros";0.0;6.0;32.0;178.0;213.0
"Real Seguros, S.A.";0.0;40.0;51.0;762.0;180.0
"Regional C.A Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;472.0;1284.0;6529.0;308.0
"Universal de Seguros C.A.";0.0;3.0;8.0;59.0;191.0
"Universitas, C.A. Seguros";0.0;28.0;-2960.0;316.0;719.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;-13984.0
"Venezuela C.A., Seguros";0.0;572.0;619.0;641.0;1290.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;-1799.0
"Virgen del Valle C.A., Seguros";0.0;2.0;5.0;50.0;226.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;2.0;19.0;12.0;11.0
"Zuma Seguros, C.A.";0.0;25.0;147.0;-81.0;-10906.0
"RESULTADO GLOBAL DEL EJERCICIO";0.0;0.0;0.0;0.0;371609.0
"TOTAL BENEFICIO";0.0;0.0;0.0;0.0;404864.0
"TOTAL PÉRDIDA";0.0;0.0;0.0;0.0;-33254.0
