"NOMBRE_EMPRESA";"PCT_SINIESTRALIDAD_PAGADA";"PCT_COMISION_GASTOS_ADQUISICION";"PCT_GASTOS_ADMINISTRACION";"GASTOS_COBERTURA_RESERVAS";"INDICE_UTILIDAD_PATRIMONIO"
"Adriática de Seguros, C.A.";0.0;9567.86;0.0;55.29;1.0
"Altamira C.A., Seguros";17.64;21.01;4.57;2.59;0.04
"American International, C.A. de Seguros";13.51;145.14;2.24;2899.74;0.96
"Andes C.A., Seguros";17.08;45.66;10.34;5.67;0.01
"Atrio Seguros C.A.";23.78;36.82;12.23;1.59;0.0
"Ávila C.A., de Seguros";1.95;19.21;8.84;71.69;0.28
"Banesco Seguros C.A.";43.23;24.09;12.11;4.44;0.51
"BBVA Seguros, C.A.";19.17;66.67;0.0;2.44;0.71
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;233.96;0.0;1211.76;0.21
"Capital C.A., Seguros";0.68;107.9;0.75;11.04;0.32
"Caracas C.A., Seguros";55.03;14.84;15.93;1.43;0.47
"Caroní, S.A., Seguros";6.14;196.06;31.41;15.05;0.18
"Catatumbo C.A., Seguros";7.16;52.15;15.83;67.82;0.9
"Constitución C.A., Seguros";36.84;29.91;10.72;2.78;0.33
"Corporativos C.A., Seguros";133.22;270.75;7.75;22.88;0.49
"Estar Seguros, S.A.";32.52;23.49;18.62;7.75;0.44
"Fe C.A., Seguros";24.39;62.95;0.08;30.36;0.31
"Hispana de Seguros, C.A.";44.69;24.71;13.53;3.21;0.55
"Horizonte, S.A. Seguros";65.14;35.66;1.08;62.3;0.91
"Iberoamericana de Seguros C.A.";87.07;541.62;0.0;303351015.81;-103.36
"Internacional, C.A. de Seguros";40.96;20.89;17.01;1.84;0.01
"Latitud Seguros C.A.";0.0;919.33;5.93;12.05;0.98
"Mapfre La Seguridad, C.A. de Seguros";58.0;23.02;18.6;2.25;0.25
"Mercantil C.A., Seguros";57.28;14.48;13.95;5.92;0.44
"Miranda C.A., Seguros";11.88;42.17;0.0;7.07;0.26
"Mundial, C.A. de Seguros";0.09;66.32;10.83;1.8;0.69
"Nuevo Mundo S.A., Seguros";37.35;50.78;19.35;13.53;0.31
"Occidental C.A., Seguros";8.79;144.41;26.01;9.6;0.49
"Oceánica de Seguros, C.A.";35.27;14.06;14.36;1.95;0.75
"Oriental de Seguros C.A.";-12.91;147.36;18.06;140.72;0.7
"Pirámide C.A., Seguros";40.95;16.08;19.41;5.74;0.88
"Previsora, C.N.A. de Seguros";22.35;93.47;0.94;77.96;0.03
"Primus Seguros C.A.";0.0;990.46;0.0;31.98;0.41
"Proseguros, S.A.";3.69;36.69;21.07;6.02;0.15
"Qualitas C.A., Seguros";32.52;33.92;12.48;2.81;0.11
"Real Seguros, S.A.";43.73;16.66;9.83;2.41;0.14
"Uniseguros S.A., Aseguradora Nacional Unida";30.98;51.87;12.85;15.36;0.04
"Universal de Seguros C.A.";11.62;154.58;12.16;11.93;0.46
"Universitas, C.A. Seguros";50.54;28.41;17.82;2.73;0.03
"Venezolana de Seguros y Vida C.A.";19.91;55.63;9.55;2.18;-0.33
"Venezuela C.A., Seguros";37.06;39.78;11.75;2.27;0.33
"Vértice, C.A. Seguros";0.29;40.85;8.05;51.91;-0.23
"Virgen del Valle C.A., Seguros";21.21;70.73;0.0;1.84;0.42
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;332656.68;0.02
"Vivir Seguros C.A.";2.85;46.99;13.3;11.32;0.25
"Zuma Seguros, C.A.";0.02;68.84;31.8;5.32;-63.18
"Valor del Mercado Asegurador";46.88;21.18;14.4;4.72;0.37
