"NOMBRE_EMPRESA";"PATRIMONIO_PROPIO_NO_COMPROMETIDO_2022";"MARGEN_SOLVENCIA_2022";"PCT_SUFICIENCIA_INSUFICIENCIA_2022";"PATRIMONIO_PROPIO_NO_COMPROMETIDO_2023";"MARGEN_SOLVENCIA_2023";"PCT_SUFICIENCIA_INSUFICIENCIA_2023"
"Adriática de Seguros C.A (2)";18.0;3310.0;17798.67;0.0;0.0;0.0
"Altamira C.A. Seguros";10081.0;23131.0;118.54;55033.0;182221.0;215.34
"American International C.A. de Seguros";551.0;31567.0;5354.57;1937.0;172678.0;8389.6
"Andes C.A. Seguros";5316.0;113268.0;1929.0;12745.0;161851.0;1109.43
"Atrio Seguros S.A.";4673.0;23194.0;372.67;14746.0;48437.0;212.84
"Ávila C.A. de Seguros";1303.0;4687.0;242.67;7984.0;292904.0;3393.79
"Banesco Seguros C.A.";20579.0;462069.0;2038.38;113625.0;929708.0;679.26
"BBVA Seguros C.A.";2082.0;34366.0;1472.25;8328.0;41756.0;377.53
"Bolivariana de Seguros y Reaseguros S.A.";31.0;762.0;2275.11;23.0;942.0;3780.37
"Capital C.A Seguros";2678.0;3461.0;23.09;5627.0;6552.0;10.9
"Carabobo C.A. Seguros (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A.Seguros";88315.0;155625.0;67.82;425947.0;507162.0;13.4
"Caroní S.A. Seguros";654.0;140367.0;20344.4;3686.0;147394.0;3708.38
"Catatumbo C.A. Seguros";1045.0;85136.0;7655.88;5259.0;312947.0;5566.83
"Constitución C.A. Seguros";32963.0;352270.0;917.81;155097.0;804621.0;394.08
"Corporativos C.A. Seguros";41.0;94288.0;221035.28;505.0;186367.0;35070.44
"Estar Seguros S.A.";8492.0;303761.0;3306.66;69380.0;600152.0;723.83
"Fe C.A. Seguros";2238.0;14352.0;510.86;10768.0;30066.0;165.92
"Guayana C.A. Seguros (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros S.A.";15154.0;17675.0;11.08;81222.0;157692.0;84.9
"Horizonte S.A. Seguros";12459.0;691595.0;5186.73;28766.0;1649403.0;5360.85
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;208.0;296840.0;136110.82
"Interbank Seguros S.A. (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional C.A. de Seguros";21411.0;35501.0;57.91;130975.0;230355.0;67.5
"Latitud seguros C.A.";0.0;0.0;0.0;204.0;4806.0;2143.84
"Mapfre La Seguridad C.A. de Seguros";48471.0;125340.0;146.27;199243.0;462340.0;121.0
"Mercantil C.A. Seguros";128168.0;141648.0;5.25;577299.0;639175.0;5.45
"Miranda C.A. Seguros (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A. (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial C.A. de Seguros";695.0;4442.0;508.81;42221.0;58877.0;32.81
"Nuevo Mundo S.A. Seguros";1419.0;40972.0;2650.51;5978.0;272067.0;4234.17
"Occidental C.A. Seguros";1140.0;23872.0;1894.1;3305.0;103535.0;2883.8
"Oceánica de Seguros C.A.";26343.0;32494.0;17.48;99136.0;121176.0;16.41
"Oriental de Seguros C.A.";68.0;11669.0;16126.92;275.0;94054.0;32528.99
"Pirámide C.A. Seguros";63352.0;181120.0;172.28;164442.0;662807.0;283.87
"Previsora C.N.A. de Seguros (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;2165.0;520209.62;12.0;5709.0;45745.48
"Proseguros S.A.";1754.0;7887.0;328.21;10547.0;67442.0;508.98
"Qualitas C.A. Seguros";8791.0;78104.0;746.17;38515.0;182280.0;350.73
"Real Seguros S.A.";14472.0;56108.0;269.24;106323.0;171081.0;53.25
"Regional C.A. de Seguros (2)";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros Aseguradora Nacional Unida S.A.";597.0;63442.0;11056.88;4878.0;161118.0;3051.65
"Universal de Seguros C.A.";491.0;13835.0;2582.93;1024.0;43356.0;3932.79
"Universitas C.A. Seguros";15136.0;258509.0;1526.55;101871.0;322124.0;201.15
"Venezolana de Seguros y Vida C.A.";5378.0;39902.0;606.67;14016.0;63726.0;333.03
"Venezuela C.A. Seguros";7564.0;26849.0;238.08;27815.0;48633.0;66.52
"Vértice Seguros C.A.";224.0;2336.0;891.75;3775.0;7932.0;100.09
"Virgen del Valle C.A. Seguros";259.0;368.0;35.13;1030.0;1378.0;27.41
"Vitalicia C.A. Seguros";0.0;26.0;113947880.56;0.0;25.0;109465715.73
"Vivir Seguros C.A.";158.0;3153.0;1804.87;715.0;7132.0;849.98
"Zuma Seguros C.A.";1417.0;13838.0;829.8;6941.0;65308.0;796.1
