"NOMBRE_EMPRESA";"RESERVAS_PRIMA_RETENCION_PROPIA";"RESERVAS_PRIMA_A_CARGO_REASEGURADORES";"RESERVAS_PRIMA_TOTAL";"RESERVAS_SINIESTROS_RETENCION_PROPIA";"RESERVAS_SINIESTROS_A_CARGO_REASEGURADORES";"RESERVAS_SINIESTROS_TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";5333.0;0.0;5333.0;7573.0;0.0;7573.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";4262.0;0.0;4262.0;12089.0;0.0;12089.0
"Ávila C.A. de Seguros";25.0;0.0;25.0;8.0;0.0;8.0
"Atrio Seguros C.A.";3130.0;14227.0;17357.0;5473.0;21893.0;27366.0
"Banesco Seguros C.A.";71.0;0.0;71.0;0.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";165.0;0.0;165.0;0.0;0.0;0.0
"Caracas C.A., Seguros";249992.0;358616.0;608608.0;146904.0;217779.0;364683.0
"Caroní, S.A., Seguros";40.0;158.0;198.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Constitución C.A., Seguros";169382.0;0.0;169382.0;107626.0;0.0;107626.0
"Corporativos C.A., Seguros";16.0;0.0;16.0;0.0;0.0;0.0
"Estar Seguros, S.A.";2429.0;0.0;2429.0;4821.0;0.0;4821.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";5325.0;96264.0;101589.0;1973.0;37479.0;39452.0
"Horizonte, S.A. Seguros";1324.0;0.0;1324.0;6351.0;0.0;6351.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";28816.0;184249.0;213065.0;6714.0;56608.0;63322.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";134234.0;0.0;134234.0;26998.0;0.0;26998.0
"Mercantil C.A., Seguros";12345.0;645213.0;657558.0;5717.0;1167602.0;1173319.0
"Miranda C.A., Seguros";40.0;0.0;40.0;0.0;0.0;0.0
"Multinacional de Seguros,C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";240.0;0.0;240.0;293.0;0.0;293.0
"Nuevo Mundo S.A., Seguros";5794.0;0.0;5794.0;3638.0;0.0;3638.0
"Occidental C.A., Seguros";608.0;0.0;608.0;3187.0;0.0;3187.0
"Oceánica de Seguros, C.A.";10404.0;47396.0;57800.0;8511.0;38774.0;47286.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";11571.0;65541.0;77113.0;16628.0;94225.0;110853.0
"Previsora, C.N.A. de Seguros";1.0;0.0;1.0;110.0;0.0;110.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";17586.0;0.0;17586.0;12374.0;0.0;12374.0
"Real Seguros, S.A.";7825.0;0.0;7825.0;3208.0;0.0;3208.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";3565.0;215.0;3780.0;206.0;2143.0;2348.0
"Universal de Seguros C.A.";125.0;0.0;125.0;159.0;0.0;159.0
"Universitas, C.A. Seguros";66667.0;0.0;66667.0;19116.0;0.0;19116.0
"Venezolana de Seguros y Vida C.A.";3676.0;0.0;3676.0;8248.0;6.0;8254.0
"Venezuela C.A., Seguros";10.0;0.0;10.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";385.0;213.0;598.0;17.0;13.0;30.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"TOTAL";745385.0;1412094.0;2157480.0;407942.0;1636523.0;2044466.0
