"NOMBRE_EMPRESA";"RESERVAS_PRIMA_RETENCION_PROPIA";"RESERVAS_PRIMA_A_CARGO_REASEGURADORES";"RESERVAS_PRIMA_TOTAL";"RESERVAS_SINIESTROS_RETENCION_PROPIA";"RESERVAS_SINIESTROS_A_CARGO_REASEGURADORES";"RESERVAS_SINIESTROS_TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";9511.0;4187.0;13698.0;58586.0;62786.0;121372.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";1.0;0.0;1.0;2212.0;0.0;2212.0
"Ávila C.A. de Seguros";164.0;0.0;164.0;654.0;0.0;654.0
"Atrio Seguros C.A.";0.0;392.0;392.0;1342.0;5369.0;6711.0
"Banesco Seguros C.A.";68028.0;0.0;68028.0;61039.0;0.0;61039.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";5.0;0.0;5.0;0.0;0.0;0.0
"Caracas C.A., Seguros";94727.0;136594.0;231321.0;48288.0;72432.0;120720.0
"Caroní, S.A., Seguros";4.0;15.0;18.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Constitución C.A., Seguros";7842.0;0.0;7842.0;66915.0;0.0;66915.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";10111.0;0.0;10111.0;15821.0;0.0;15821.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";1464.0;23070.0;24534.0;10865.0;16223.0;27088.0
"Horizonte, S.A. Seguros";2200.0;0.0;2200.0;10348.0;0.0;10348.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";17848.0;115789.0;133637.0;13787.0;25909.0;39696.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";27260.0;0.0;27260.0;14252.0;0.0;14252.0
"Mercantil C.A., Seguros";24111.0;104749.0;128859.0;4406.0;413591.0;417997.0
"Miranda C.A., Seguros";23.0;0.0;23.0;14832.0;0.0;14832.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";64.0;0.0;64.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";141.0;0.0;141.0;1061.0;0.0;1061.0
"Oceánica de Seguros, C.A.";10170.0;37514.0;47684.0;11669.0;52041.0;63710.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";9637.0;54611.0;64248.0;45565.0;258200.0;303765.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;128.0;0.0;128.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";19043.0;5442.0;24484.0;5904.0;5275.0;11179.0
"Real Seguros, S.A.";18367.0;0.0;18367.0;8774.0;0.0;8774.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";4834.0;1996.0;6831.0;2956.0;3818.0;6774.0
"Universal de Seguros C.A.";0.0;0.0;0.0;553.0;0.0;553.0
"Universitas, C.A. Seguros";14830.0;0.0;14830.0;25616.0;0.0;25616.0
"Venezolana de Seguros y Vida C.A.";1152.0;0.0;1152.0;10418.0;0.0;10418.0
"Venezuela C.A., Seguros";21226.0;0.0;21226.0;5022.0;0.0;5022.0
"Vértice, C.A. Seguros";0.0;3715.0;3715.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"TOTAL";362763.0;488072.0;850835.0;441013.0;915643.0;1356657.0
