"NOMBRE_EMPRESA";"PERSONAS_SEGURO_DIRECTO";"PERSONAS_REASEGURO_ACEPTADO";"PERSONAS_TOTAL";"GENERALES_SEGURO_DIRECTO";"GENERALES_REASEGURO_ACEPTADO";"GENERALES_TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;122.0;0.0;122.0
"Altamira C.A., Seguros";336801.0;0.0;336801.0;174607.0;368.0;174975.0
"American International, C.A. de Seguros";1204.0;0.0;1204.0;21899.0;0.0;21899.0
"Andes C.A., Seguros";53783.0;0.0;53783.0;21566.0;0.0;21566.0
"Atrio Seguros C.A.";66301.0;0.0;66301.0;109283.0;0.0;109283.0
"Ávila C.A., de Seguros";2043.0;0.0;2043.0;45158.0;0.0;45158.0
"Banesco Seguros C.A.";591266.0;0.0;591266.0;181842.0;0.0;181842.0
"BBVA Seguros, C.A.";48138.0;0.0;48138.0;0.0;139.0;139.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;272.0;0.0;272.0
"Capital C.A., Seguros";14503.0;0.0;14503.0;18600.0;0.0;18600.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";4338786.0;0.0;4338786.0;726214.0;0.0;726214.0
"Caroní, S.A., Seguros";5702.0;0.0;5702.0;37736.0;0.0;37736.0
"Catatumbo C.A., Seguros";551.0;0.0;551.0;61778.0;0.0;61778.0
"Constitución C.A., Seguros";814165.0;0.0;814165.0;126103.0;0.0;126103.0
"Corporativos C.A., Seguros";116.0;0.0;116.0;2852.0;0.0;2852.0
"Estar Seguros, S.A.";218870.0;0.0;218870.0;391231.0;0.0;391231.0
"Fe C.A., Seguros";69546.0;0.0;69546.0;28.0;0.0;28.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";657549.0;0.0;657549.0;302382.0;0.0;302382.0
"Horizonte, S.A. Seguros";140026.0;0.0;140026.0;200937.0;0.0;200937.0
"Iberoamericana de Seguros C.A.";1275.0;0.0;1275.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";1174263.0;0.0;1174263.0;374941.0;0.0;374941.0
"Latitud Seguros C.A.";0.0;0.0;0.0;2400.0;0.0;2400.0
"Mapfre La Seguridad, C.A. de Seguros";865080.0;0.0;865080.0;412349.0;0.0;412349.0
"Mercantil C.A., Seguros";5908595.0;0.0;5908595.0;1036039.0;0.0;1036039.0
"Miranda C.A., Seguros";68299.0;0.0;68299.0;279039.0;0.0;279039.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";2970.0;0.0;2970.0;245368.0;0.0;245368.0
"Nuevo Mundo S.A., Seguros";16870.0;0.0;16870.0;19654.0;0.0;19654.0
"Occidental C.A., Seguros";3839.0;0.0;3839.0;15669.0;0.0;15669.0
"Oceánica de Seguros, C.A.";616359.0;0.0;616359.0;561040.0;0.0;561040.0
"Oriental de Seguros C.A.";77.0;0.0;77.0;3152.0;0.0;3152.0
"Pirámide C.A., Seguros";1475944.0;0.0;1475944.0;474682.0;0.0;474682.0
"Previsora, C.N.A. de Seguros";14123.0;0.0;14123.0;44113.0;0.0;44113.0
"Primus Seguros C.A.";16.0;0.0;16.0;137.0;0.0;137.0
"Proseguros, S.A.";1714.0;0.0;1714.0;60408.0;0.0;60408.0
"Qualitas C.A., Seguros";271766.0;36242.0;308008.0;29996.0;0.0;29996.0
"Real Seguros, S.A.";414016.0;0.0;414016.0;297507.0;0.0;297507.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";42797.0;0.0;42797.0;11646.0;0.0;11646.0
"Universal de Seguros C.A.";159.0;0.0;159.0;5865.0;0.0;5865.0
"Universitas, C.A. Seguros";369171.0;0.0;369171.0;252553.0;0.0;252553.0
"Venezolana de Seguros y Vida C.A.";36332.0;0.0;36332.0;48617.0;0.0;48617.0
"Venezuela C.A., Seguros";158858.0;0.0;158858.0;17931.0;0.0;17931.0
"Vértice, C.A. Seguros";4443.0;0.0;4443.0;17764.0;0.0;17764.0
"Virgen del Valle C.A., Seguros";6061.0;0.0;6061.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";2280.0;0.0;2280.0;3667.0;0.0;3667.0
"Zuma Seguros, C.A.";385.0;0.0;385.0;40510.0;0.0;40510.0
"TOTAL";18815041.0;36242.0;18851283.0;6677659.0;507.0;6678166.0
