"NOMBRE_EMPRESA";"PERSONAS_SEGURO_DIRECTO";"PERSONAS_REASEGURO_ACEPTADO";"PERSONAS_TOTAL";"GENERALES_SEGURO_DIRECTO";"GENERALES_REASEGURO_ACEPTADO";"GENERALES_TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";8164.0;0.0;8164.0;322.0;0.0;322.0
"American International, C.A. de Seguros";0.0;0.0;0.0;314.0;0.0;314.0
"Andes C.A., Seguros";296.0;0.0;296.0;50.0;0.0;50.0
"Atrio Seguros C.A.";1251.0;0.0;1251.0;590.0;0.0;590.0
"Ávila C.A., de Seguros";65.0;0.0;65.0;169.0;0.0;169.0
"Banesco Seguros C.A.";69676.0;0.0;69676.0;311.0;0.0;311.0
"BBVA Seguros, C.A.";308.0;0.0;308.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";4.0;0.0;4.0;0.0;0.0;0.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";48254.0;0.0;48254.0;5357.0;0.0;5357.0
"Caroní, S.A., Seguros";3.0;0.0;3.0;71.0;0.0;71.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;453.0;0.0;453.0
"Constitución C.A., Seguros";21200.0;0.0;21200.0;2355.0;0.0;2355.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";4428.0;0.0;4428.0;3864.0;0.0;3864.0
"Fe C.A., Seguros";211.0;0.0;211.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";3903.0;0.0;3903.0;475.0;0.0;475.0
"Horizonte, S.A. Seguros";2375.0;0.0;2375.0;10.0;0.0;10.0
"Iberoamericana de Seguros C.A.";54.0;0.0;54.0;0.0;0.0;0.0
"Interbank Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";7370.0;0.0;7370.0;327.0;0.0;327.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";68116.0;0.0;68116.0;31653.0;0.0;31653.0
"Mercantil C.A., Seguros";104330.0;0.0;104330.0;9199.0;0.0;9199.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";34.0;0.0;34.0;471.0;0.0;471.0
"Occidental C.A., Seguros";26.0;0.0;26.0;16.0;0.0;16.0
"Oceánica de Seguros, C.A.";7348.0;0.0;7348.0;2764.0;0.0;2764.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;1.0;0.0;1.0
"Pirámide C.A., Seguros";10868.0;0.0;10868.0;3884.0;0.0;3884.0
"Previsora, C.N.A. de Seguros";75.0;0.0;75.0;50.0;0.0;50.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";4.0;0.0;4.0;77.0;0.0;77.0
"Qualitas C.A., Seguros";3554.0;0.0;3554.0;48.0;0.0;48.0
"Real Seguros, S.A.";60746.0;0.0;60746.0;5433.0;0.0;5433.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";354.0;0.0;354.0;639.0;0.0;639.0
"Universal de Seguros C.A.";0.0;0.0;0.0;1.0;0.0;1.0
"Universitas, C.A. Seguros";13351.0;0.0;13351.0;3902.0;0.0;3902.0
"Venezolana de Seguros y Vida C.A.";372.0;0.0;372.0;8.0;0.0;8.0
"Venezuela C.A., Seguros";6598.0;0.0;6598.0;73.0;0.0;73.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";291.0;0.0;291.0;8.0;0.0;8.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;67.0;0.0;67.0
"TOTAL";443630.0;0.0;443630.0;72961.0;0.0;72961.0
