"NOMBRE_EMPRESA";"TOTAL_A_MAS_B";"PRESTACIONES_SINIESTROS_PENDIENTES_A";"SINIESTROS_OCURRIDOS_NO_NOTIFICADOS_B";"PCT_B_SOBRE_A"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";71608.0;68699.0;2909.0;4.24
"American International, C.A. de Seguros";57.0;55.0;2.0;3.0
"Andes C.A., Seguros";17163.0;15746.0;1417.0;9.0
"Ávila C.A. de Seguros";751.0;736.0;16.0;2.11
"Atrio Seguros C.A.";12949.0;12570.0;378.0;3.01
"Banesco Seguros C.A.";68342.0;66351.0;1991.0;3.0
"BBVA Seguros, C.A.";1180.0;512.0;669.0;130.59
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;3.0
"Capital C.A., Seguros";40.0;39.0;1.0;3.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";284215.0;246614.0;37602.0;15.25
"Caroní, S.A., Seguros";32.0;4.0;28.0;704.65
"Catatumbo C.A., Seguros";23060.0;22033.0;1027.0;4.66
"Constitución C.A., Seguros";188737.0;183239.0;5497.0;3.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";24102.0;23399.0;703.0;3.01
"Fe C.A., Seguros";650.0;631.0;19.0;3.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";20308.0;16747.0;3562.0;21.27
"Horizonte, S.A. Seguros";17757.0;17170.0;587.0;3.42
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";24920.0;22116.0;2804.0;12.68
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";65649.0;63733.0;1916.0;3.01
"Mercantil C.A., Seguros";14209.0;13795.0;414.0;3.0
"Miranda C.A., Seguros";16514.0;14939.0;1575.0;10.55
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";509.0;354.0;155.0;43.82
"Nuevo Mundo S.A., Seguros";3982.0;3865.0;116.0;3.01
"Occidental C.A., Seguros";4626.0;4491.0;135.0;3.0
"Oceánica de Seguros, C.A.";30135.0;27520.0;2614.0;9.5
"Oriental de Seguros C.A.";0.0;0.0;0.0;3.01
"Pirámide C.A., Seguros";80243.0;77906.0;2337.0;3.0
"Previsora, C.N.A. de Seguros";900.0;874.0;26.0;3.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";1805.0;1700.0;105.0;6.17
"Qualitas C.A., Seguros";21620.0;19255.0;2365.0;12.28
"Real Seguros, S.A.";16115.0;15646.0;469.0;3.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";4056.0;3462.0;594.0;17.17
"Universal de Seguros C.A.";1058.0;1017.0;41.0;4.0
"Universitas, C.A. Seguros";60521.0;58758.0;1763.0;3.0
"Venezolana de Seguros y Vida C.A.";20978.0;19424.0;1554.0;8.0
"Venezuela C.A., Seguros";6398.0;5066.0;1332.0;26.29
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";40.0;38.0;1.0;3.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";22.0;22.0;1.0;3.0
"Zuma Seguros, C.A.";46.0;44.0;1.0;3.0
"TOTAL";1105298.0;1028573.0;76725.0;7.46
