"CONCEPTO";"MONTO";"TIPO"
"ACTIVOS";0.0;"SECCION"
"INVERSIONES APTAS PARA LA REPRESENTACIÓN DE LAS RESERVAS TÉCNICAS";82868.36;"LINEA"
"GARANTÍA A LA NACIÓN";149.74;"LINEA"
"INVERSIONES NO APTAS PARA LA REPRESENTACION DE LAS RESERVAS TÉCNICAS";246212.54;"LINEA"
"ACTIVOS DEPRECIABLES Y AMORTIZABLES";506.18;"LINEA"
"CUENTAS DEUDORAS POR REASEGUROS";194739.41;"LINEA"
"CUENTAS DEUDORAS DIVERSAS";24467.92;"LINEA"
"BENEFICIOS DEVENGADOS POR COBRAR";10213.73;"LINEA"
"ACTIVOS TRANSITORIOS";2918.6;"LINEA"
"OTROS ACTIVOS";0.0;"LINEA"
"ACCIONISTAS";0.0;"LINEA"
"TOTAL ACTIVO";562076.47;"TOTAL_ACTIVO"
"PÉRDIDAS";0.0;"LINEA"
"TOTAL GENERAL";562076.47;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";85154.54;"LINEA"
"PASIVOS";0.0;"SECCION"
"RESERVAS TÉCNICAS";209659.18;"LINEA"
"OBLIGACIONES A PAGAR";5192.97;"LINEA"
"CUENTAS ACREEDORAS POR REASEGUROS";146732.76;"LINEA"
"CUENTAS ACREEDORAS DIVERSAS";32493.25;"LINEA"
"PASIVOS TRANSITORIOS";268.75;"LINEA"
"OTROS PASIVOS";129.95;"LINEA"
"RESERVAS DE PREVISIÓN";6979.07;"LINEA"
"RESERVAS DE DEPRECIACIONES, AMORTIZACIONES Y DEVALUACIONES";703.38;"LINEA"
"TOTAL PASIVO";402159.31;"TOTAL_PASIVO"
"CAPITAL Y OTROS";0.0;"SECCION"
"CAPITAL SOCIAL SUSCRITO";8.22;"LINEA"
"RESERVAS DE SUPERÁVIT";51710.15;"LINEA"
"TOTAL CAPITAL Y OTROS";51718.37;"TOTAL_CAPITAL"
"MÁS";0.0;"SECCION"
"UTILIDAD DEL EJERCICIO";108198.79;"LINEA"
"TOTAL GENERAL";562076.47;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";85154.54;"LINEA"
