"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES TÉCNICAS";697998.91;"SECCION"
"PRIMAS";365342.17;"LINEA"
"NEGOCIOS NACIONALES";236072.52;"LINEA"
"NEGOCIOS EXTRANJEROS";129269.65;"LINEA"
"PRESTACIONES Y SINIESTROS A CARGO DE RETROCESIONARIOS";46600.05;"LINEA"
"DEL PAÍS";15193.93;"LINEA"
"DEL EXTERIOR";31406.12;"LINEA"
"GASTOS OPERACIONALES REEMBOLSADOS POR RETROCESIONARIOS";101902.81;"LINEA"
"DEL PAÍS";0.0;"LINEA"
"DEL EXTERIOR";101902.81;"LINEA"
"IMPUESTOS A CARGO DE RETROCESIONARIOS";0.0;"LINEA"
"DEL PAÍS";0.0;"LINEA"
"DEL EXTERIOR";0.0;"LINEA"
"PARTICIPACION EN UTILIDADES DE LOS RETROCESIONARIOS";0.0;"LINEA"
"DEL PAÍS";0.0;"LINEA"
"DEL EXTERIOR";0.0;"LINEA"
"RESERVAS DE PRIMAS";114159.47;"LINEA"
"NEGOCIOS NACIONALES";19187.61;"LINEA"
"NEGOCIOS EXTRANJEROS";94971.86;"LINEA"
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";69393.67;"LINEA"
"NEGOCIOS NACIONALES";3747.89;"LINEA"
"NEGOCIOS EXTRANJEROS";65645.78;"LINEA"
"INTERESES A CARGO DE REASEGURADAS";0.0;"LINEA"
"NEGOCIOS NACIONALES";0.0;"LINEA"
"NEGOCIOS EXTRANJEROS";0.0;"LINEA"
"RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS";600.75;"LINEA"
"NEGOCIOS NACIONALES";419.22;"LINEA"
"NEGOCIOS EXTRANJEROS";181.53;"LINEA"
"RESERVAS PARA RIESGOS CATASTRÓFICOS";0.0;"LINEA"
"GESTIÓN GENERAL";202769.28;"SECCION"
"PRODUCTO DE INVERSIONES";1263.18;"LINEA"
"AJUSTE DE VALORES";388.75;"LINEA"
"BENEFICIOS DIVERSOS";201117.35;"LINEA"
"TOTAL INGRESOS";900768.2;"TOTAL_INGRESOS"
"PÉRDIDA DEL EJERCICIO";0.0;"LINEA"
"TOTAL GENERAL";900768.2;"TOTAL_GLOBAL"
