"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES TÉCNICAS";717609.3;"SECCION"
"PRESTACIONES Y SINIESTROS PAGADOS";56541.44;"LINEA"
"NEGOCIOS NACIONALES";28505.34;"LINEA"
"NEGOCIOS EXTRANJEROS";28036.11;"LINEA"
"GASTOS DE ADQUISICIÓN";101815.82;"LINEA"
"NEGOCIOS NACIONALES";63643.88;"LINEA"
"NEGOCIOS EXTRANJEROS";38171.94;"LINEA"
"PRIMAS RETROCEDIDAS";334535.5;"LINEA"
"AL PAÍS";7274.55;"LINEA"
"AL EXTERIOR";327260.95;"LINEA"
"RESERVAS DE PRIMAS";125255.26;"LINEA"
"NACIONALES";74959.54;"LINEA"
"EXTRANJERAS";50295.72;"LINEA"
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";81908.49;"LINEA"
"DEL PAÍS";49954.72;"LINEA"
"DEl EXTERIOR";31953.77;"LINEA"
"INTERESES PAGADOS A RETROCESIONARIOS";0.0;"LINEA"
"AL PAÍS";0.0;"LINEA"
"AL EXTERIOR";0.0;"LINEA"
"GASTOS DE ADMINISTRACIÓN";10644.01;"LINEA"
"NEGOCIOS NACIONALES";5725.01;"LINEA"
"NEGOCIOS EXTRANJEROS";4919.0;"LINEA"
"RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS";5492.45;"LINEA"
"NEGOCIOS NACIONALES";2125.53;"LINEA"
"NEGOCIOS EXTRANJEROS";3366.92;"LINEA"
"RESERVAS PARA RIESGOS CATRASTRÓFICOS";1416.33;"LINEA"
"GESTIÓN GENERAL";74960.11;"SECCION"
"EGRESOS FINANCIEROS";871.02;"LINEA"
"AJUSTE DE VALORES Y OTROS ACTIVOS";74.2;"LINEA"
"PÉRDIDAS EN ACTIVOS";0.0;"LINEA"
"GASTOS DE INMUEBLES";0.0;"LINEA"
"GASTOS DE ADMINISTRACIÓN";23661.11;"LINEA"
"AJUSTES DE RESERVAS DE PREVISIÓN";4152.3;"LINEA"
"OTROS EGRESOS";46201.48;"LINEA"
"TOTAL EGRESOS";792569.41;"TOTAL_EGRESOS"
"UTILIDAD DEL EJERCICIO";108198.79;"LINEA"
"TOTAL GENERAL";900768.2;"TOTAL_GLOBAL"
