"CONCEPTO";"RIV";"KAIROS";"PROVINCIAL";"DELTA"
"INVERSIONES APTAS PARA LA REPRESENTACIÓN DE LAS RESERVAS TÉCNICAS";3935.22;3143.12;0.0;75790.01
"GARANTÍA A LA NACIÓN";5.42;5.04;0.0;139.27
"INVERSIONES NO APTAS PARA LA REPRESENTACIÇON DE LAS RESERVAS TÉCNICAS";15417.15;4372.53;0.0;226422.86
"ACTIVOS DEPRECIABLES Y AMORTIZABLES";252.07;63.59;0.0;190.53
"CUENTAS DEUDORAS POR REASEGUROS";15864.87;0.0;0.0;178874.54
"CUENTAS DEUDORAS DIVERSAS";217.18;13.93;0.0;24236.81
"BENEFICIOS DEVENGADOS POR COBRAR";0.0;0.0;0.0;10213.73
"ACTIVOS TRANSITORIOS";341.14;0.01;0.0;2577.46
"OTROS ACTIVOS";0.0;0.0;0.0;0.0
"ACCIONISTAS";0.0;0.0;0.0;0.0
"TOTAL ACTIVOS";36033.05;7598.21;0.0;518445.21
"PÉRDIDAS";0.0;0.0;0.0;0.0
"TOTAL GENERAL";36033.05;7598.21;0.0;518445.21
"CUENTAS DE ORDEN";11240.44;0.0;0.0;73914.11
"RESERVAS TÉCNICAS";15789.02;2723.04;0.0;191147.13
"OBLIGACIONES A PAGAR";5189.69;3.28;0.0;0.0
"CUENTAS ACREEDORAS POR REASEGUROS";9087.45;1649.94;0.0;135995.37
"CUENTAS ACREEDORAS DIVERSAS";1523.32;1783.87;0.0;29186.05
"PASIVOS TRANSITORIOS";268.75;0.0;0.0;0.0
"OTROS PASIVOS";129.95;0.0;0.0;0.0
"RESERVAS DE PREVISION";0.0;0.0;0.0;6979.07
"RESERVAS DE DEPRECIACIONES, AMORTIZACIONES Y DEVALUACIONES";291.88;0.0;0.0;411.5
"TOTAL PASIVO";32280.05;6160.14;0.0;363719.12
"CAPITAL SOCIAL SUSCRITO";2.61;2.61;0.0;3.0
"RESERVAS DE SUPERAVIT";3401.26;181.68;0.0;48127.21
"TOTAL CAPITAL Y OTROS";3403.87;184.29;0.0;48130.21
"UTILIDAD DEL EJERCICIO";349.12;1253.79;0.0;106595.88
"TOTAL PASIVO Y CAPITAL";36033.05;7598.21;0.0;518445.21
"CUENTA DE ORDEN";11240.44;0.0;0.0;73914.11
