"CONCEPTO";"RIV_MONTO";"RIV_PCT";"KAIROS_MONTO";"KAIROS_PCT";"PROVINCIAL_MONTO";"PROVINCIAL_PCT";"DELTA_MONTO";"DELTA_PCT"
"OPERACIONES TÉCNICAS";103424.46;66.99;18184.0;88.62;0.0;0.0;576390.45;79.41
"PRIMAS";67836.36;43.94;17784.85;86.67;0.0;0.0;279720.95;38.54
"NEGOCIOS NACIONALES";67836.36;43.94;17784.85;86.67;0.0;0.0;150451.31;20.73
"NEGOCIOS EXTRANJEROS";0.0;0.0;0.0;0.0;0.0;0.0;129269.65;17.81
"PRESTACIONES Y SINIESTROS A CARGO DE RETROCESIONARIOS";7206.28;4.67;0.0;0.0;0.0;0.0;39393.77;5.43
"DEL PAÍS";0.0;0.0;0.0;0.0;0.0;0.0;15193.93;2.09
"DEL EXTERIOR";7206.28;4.67;0.0;0.0;0.0;0.0;24199.84;3.33
"GASTOS OPERACIONALES REEMBOLSADOS POR RETROCESIONARIOS";13895.13;9.0;0.0;0.0;0.0;0.0;88007.69;12.12
"DEL PAÍS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DEL EXTERIOR";13895.13;9.0;0.0;0.0;0.0;0.0;88007.69;12.12
"IMPUESTOS A CARGO DE RETROCESIONARIOS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DEL PAÍS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DEL EXTERIOR";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"PARTICIPACIÓN EN UTILIDADES DE LOS RETROCESIONARIOS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DEL PAÍS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DEL EXTERIOR";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"RESERVAS DE PRIMAS";13542.35;8.77;391.97;1.91;0.0;0.0;100225.15;13.81
"NEGOCIOS NACIONALES";13542.35;8.77;391.97;1.91;0.0;0.0;5253.29;0.72
"NEGOCIOS EXTRANJEROS";0.0;0.0;0.0;0.0;0.0;0.0;94971.86;13.08
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";944.34;0.61;6.98;0.03;0.0;0.0;68442.35;9.43
"NEGOCIOS NACIONALES";944.34;0.61;6.98;0.03;0.0;0.0;2796.57;0.39
"NEGOCIOS EXTRANJEROS";0.0;0.0;0.0;0.0;0.0;0.0;65645.78;9.04
"INTERESES A CARGO DE REASEGURADAS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"NEGOCIOS NACIONALES";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"NEGOCIOS EXTRANJEROS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS";0.0;0.0;0.21;0.0;0.0;0.0;600.54;0.08
"NEGOCIOS NACIONALES";0.0;0.0;0.21;0.0;0.0;0.0;419.01;0.06
"NEGOCIOS EXTRANJEROS";0.0;0.0;0.0;0.0;0.0;0.0;181.53;0.03
"RESERVAS PARA RIESGOS CATASTRÓFICOS";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"GESTIÓN GENERAL";50972.55;33.01;2336.07;11.38;0.0;0.0;149460.66;20.59
"PRODUCTO DE INVERSIONES";253.64;0.16;0.18;0.0;0.0;0.0;1009.36;0.14
"AJUSTE DE VALORES";0.0;0.0;368.56;1.8;0.0;0.0;20.19;0.0
"BENEFICIOS DIVERSOS";50718.92;32.85;1967.32;9.59;0.0;0.0;148431.11;20.45
"TOTAL INGRESOS";154397.01;100.0;20520.08;100.0;0.0;0.0;725851.11;100.0
"PÉRDIDA DEL EJERCICIO";0.0;"";0.0;"";0.0;"";0.0;""
"TOTAL GENERAL";154397.01;"";20520.08;"";0.0;"";725851.11;""
