"CONCEPTO";"RIV_MONTO";"RIV_PCT";"KAIROS_MONTO";"KAIROS_PCT";"PROVINCIAL_MONTO";"PROVINCIAL_PCT";"DELTA_MONTO";"DELTA_PCT"
"OPERACIONES TÉCNICAS";88772.41;"";13974.06;"";0.0;"";614862.83;""
"PRESTACIONES Y SINIESTROS PAGADOS";7252.82;"";71.2;"";0.0;"";49217.42;""
"Negocios Nacionales";7252.82;"";71.2;"";0.0;"";21181.31;""
"Negocios Extranjeros";0.0;"";0.0;"";0.0;"";28036.11;""
"GASTOS DE ADQUISICION";18361.34;"";4138.7;"";0.0;"";79315.78;""
"Negocios Nacionales";18361.34;"";4138.7;"";0.0;"";41143.84;""
"PRIMAS RETROCEDIDAS";48215.11;"";7053.03;"";0.0;"";279267.37;""
"Al País";0.0;"";7053.03;"";0.0;"";221.52;""
"Al Exterior";48215.11;"";0.0;"";0.0;"";279045.84;""
"RESERVAS DE PRIMAS";13929.42;"";2319.48;"";0.0;"";109006.36;""
"Nacionales";13929.42;"";2319.48;"";0.0;"";58710.64;""
"Extranjeras";0.0;"";0.0;"";0.0;"";50295.72;""
"RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENTES";995.63;"";264.41;"";0.0;"";80648.44;""
"Del País";995.63;"";264.41;"";0.0;"";48694.67;""
"Del Exterior";0.0;"";0.0;"";0.0;"";31953.77;""
"INTERESES PAGADOS A RETROCESIONARIOS";0.0;"";0.0;"";0.0;"";0.0;""
"Al País";0.0;"";0.0;"";0.0;"";0.0;""
"Al Exterior";0.0;"";0.0;"";0.0;"";0.0;""
"GASTOS DE ADMINISTRACION";0.0;"";0.0;"";0.0;"";10644.01;""
"Negocios Nacionales";0.0;"";0.0;"";0.0;"";5725.01;""
"Negocios Extranjeros";0.0;"";0.0;"";0.0;"";4919.0;""
"RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS";1.54;"";7.93;"";0.0;"";5482.98;""
"Negocios Nacionales";1.54;"";7.93;"";0.0;"";2116.06;""
"Negocios Extranjeros";0.0;"";0.0;"";0.0;"";3366.92;""
"RESERVAS PARA RIESGOS CATRASTROFICOS";16.55;"";119.3;"";0.0;"";1280.47;""
"GESTIÓN GENERAL";65275.48;"";5292.23;"";0.0;"";4392.4;""
"Egresos Financieros";324.85;"";140.42;"";0.0;"";405.75;""
"Ajuste de Valores y Otros Activos";32.36;"";11.46;"";0.0;"";30.38;""
"Pérdidas en Activos";0.0;"";0.0;"";0.0;"";0.0;""
"Gastos de Inmuebles";0.0;"";0.0;"";0.0;"";0.0;""
"Gastos de Administración";18484.0;"";4959.89;"";0.0;"";217.22;""
"Ajustes de Reservas de Previsión";472.21;"";0.42;"";0.0;"";3679.66;""
"Otros Egresos";45962.06;"";180.03;"";0.0;"";59.39;""
"Utilidad del ejercicio";349.12;"";1253.79;"";0.0;"";106595.88;""
"TOTAL GENERAL";154397.01;"";20520.08;"";0.0;"";725851.11;""
